model,target_class,source_set,source_id,source,prompt_style,layer,control,gain,vector_class,prompt,generated,target_marker_hit,content_preserved,target_and_preserved,malformed_or_repetitive,generated_chars,target_best_prob,target_best_rank,target_top1_any
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_restate,2,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The drone photographed the flooded road.
Restatement:","The drone photographed the flooded road.
Sentence: The drone photographed the flooded road.
Sentence: The drone",0.0,1.0,0.0,0.0,111.0,9.874071110971272e-05,124.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_restate,3,target,0.75,question,"Restate the following sentence exactly.
Sentence: The drone photographed the flooded road.
Restatement:","The drone was not in the right place at the time of the photo.
Sentence: The drone was not in",0.0,0.0,0.0,0.0,93.0,0.00496967788785696,17.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_restate,3,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The drone photographed the flooded road.
Restatement:","The drone photographed the flooded road.
Sentence: The drone photographed the flooded road!
Sentence: The drone",0.0,1.0,0.0,0.0,111.0,0.0015498603461310267,9.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The drone photographed the flooded road.
Restatement:","The drone was not damaged.
Sentence: The drone was not damaged.
Sentence: The drone was not",0.0,0.0,0.0,0.0,91.0,0.0001523719256510958,63.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_restate,3,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The drone photographed the flooded road.
Restatement:","The drone was able to locate the water and found the water was safe.
The following day, the drone was able",0.0,0.0,0.0,0.0,106.0,3.800516060437076e-05,261.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,-1,none,0.0,,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone photographed the flooded road.
The drone photographed the flooded road.
The drone photographed the flooded road.",0.0,1.0,0.0,0.0,122.0,0.0001908015983644873,54.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: The drone photographed the flooded road.
Restatement:","The drone photographed the flooded road.
Sentence: The drone photographed the flooded road.
Sentence: The drone",0.0,1.0,0.0,0.0,111.0,4.825216456083581e-05,67.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The drone photographed the flooded road?,1.0,1.0,1.0,0.0,40.0,,,
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,2,target,0.75,question,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone was in the water.
The drone was in the water?
The drone was in the water?",1.0,0.0,0.0,0.0,83.0,0.8108476996421814,1.0,1.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,2,wrong_marker,0.75,exclamation,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone photographed the flooded road.
The drone photographed the flooded road!
The drone photographed the flooded road!",0.0,1.0,0.0,0.0,122.0,0.0025709476321935654,8.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,2,random_norm,0.75,random_norm,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone photographed the flooded road.

The drone photographed the flooded road.

The drone photographed the",0.0,1.0,0.0,1.0,110.0,0.0002821323287207633,29.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,2,negative_target,0.75,question,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone photographed the flooded road.

The drone photographed the flooded road.

The drone photographed the",0.0,1.0,0.0,1.0,110.0,0.0001490977592766285,44.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,3,target,0.75,question,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone was in the water.
The drone was in the water?
The drone was in the water?",1.0,0.0,0.0,0.0,83.0,0.8425289988517761,1.0,1.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,3,wrong_marker,0.75,exclamation,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone photographed the flooded road.
The drone photographed the flooded road!
The drone photographed the flooded road!",0.0,1.0,0.0,0.0,122.0,0.0020382171496748924,11.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,3,random_norm,0.75,random_norm,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone photographed the flooded road.
The drone photographed the flooded road.
The drone photographed the flooded road.",0.0,1.0,0.0,0.0,122.0,0.00013833606499247253,55.0,0.0
gpt2,question,application_naturalish_heldout,78,The drone photographed the flooded road.,neutral_same,3,negative_target,0.75,question,"Same meaning, same wording:
The drone photographed the flooded road.
Output:","The drone was able to capture the image and then uploaded it to the internet.

The drone was able",0.0,0.0,0.0,0.0,97.0,0.00013784407929051667,433.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The legal memo cited the revised statute.
The court found that the statute was unconstitutional because it did not provide for the",0.0,1.0,0.0,0.0,130.0,5.984486051602289e-05,130.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: The legal memo cited the revised statute.
Restatement:","The legal memo cited the revised statute.
The following sentence is a paraphrase of the original sentence.
The following",0.0,1.0,0.0,0.0,120.0,0.00019907708337996155,63.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The legal memo cited the revised statute?,1.0,1.0,1.0,0.0,41.0,,,
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,2,target,0.75,question,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The legal memo cited the revised statute.
The legal memo cited the revised statute?
The legal memo cited the revised",1.0,1.0,1.0,0.0,116.0,0.7222294211387634,1.0,1.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,2,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The legal memo cited the revised statute.
The legal memo cited the revised statute!
The legal memo cited the revised",0.0,1.0,0.0,0.0,116.0,0.015601517632603645,4.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,2,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The legal memo cited the revised statute.
Sentence: The legal memo cited the revised statute.
Sentence:",0.0,1.0,0.0,0.0,103.0,0.00010560160444583744,37.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,2,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The legal memo cited the revised statute.
The following sentence was added to the original.
The following sentence was added",0.0,1.0,0.0,0.0,124.0,0.00011854416516143829,143.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,3,target,0.75,question,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The statute was amended to reflect the revised statute.
The statute was amended to reflect the revised statute?
The statute",1.0,0.0,0.0,1.0,123.0,0.9762102365493774,1.0,1.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,3,wrong_marker,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The statute was amended to clarify that the statute was not a ""law"" and that it was not a ""law""",0.0,0.0,0.0,0.0,95.0,2.9379280022112653e-05,380.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","The court has affirmed the judgment of the court of appeals.
The court of appeals has affirmed the judgment of the court",0.0,0.0,0.0,1.0,120.0,0.0001566869905218482,205.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_restate,3,negative_target,0.75,question,"Restate the following sentence exactly.
Sentence: The legal memo cited the revised statute.
Restatement:","(PDF)

The following sentences have been selected:
The following are the best reprints that I have found",0.0,0.0,0.0,1.0,104.0,2.8921529519720934e-05,793.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,-1,none,0.0,,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The legal memo cited the revised statute.
The legal memo cited the revised statute.
The legal memo cited",0.0,1.0,0.0,0.0,104.0,0.0002451913896948099,52.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with a question mark.
Sentence: The legal memo cited the revised statute.
Restatement:","The legal memo cited the revised statute.
The following sentence is a paraphrase of the original sentence.
The following",0.0,1.0,0.0,0.0,120.0,0.00019907708337996155,63.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The legal memo cited the revised statute?,1.0,1.0,1.0,0.0,41.0,,,
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,2,target,0.75,question,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The revised statute is the same as the original statute.

The original statute is the same as the original",0.0,0.0,0.0,0.0,106.0,0.07762420922517776,2.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,2,wrong_marker,0.75,exclamation,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The legal memo cited the revised statute.
The legal memo cited the revised statute!
The legal memo cited",0.0,1.0,0.0,0.0,104.0,0.00840265117585659,5.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,2,random_norm,0.75,random_norm,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The legal memo cited the revised statute.
The legal memo cited the revised statute.
The legal memo cited",0.0,1.0,0.0,0.0,104.0,0.0005578510463237762,30.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,2,negative_target,0.75,question,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The legal memo cited the revised statute.

The legal memo cited the revised statute.

The legal",0.0,1.0,0.0,1.0,95.0,0.00035760263563133776,43.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,3,target,0.75,question,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The revised statute is a ""legal memo"" that is not a legal memo.

The legal memo is",0.0,1.0,0.0,0.0,82.0,0.08671726286411285,3.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,3,wrong_marker,0.75,exclamation,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The legal memo cited the revised statute.
The legal memo cited the revised statute!
The legal memo cited",0.0,1.0,0.0,0.0,104.0,0.00475678825750947,8.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,3,random_norm,0.75,random_norm,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The legal memo cited the revised statute.
The legal memo cited the revised statute.
The legal memo cited",0.0,1.0,0.0,0.0,104.0,0.00019088821136392653,64.0,0.0
gpt2,question,application_naturalish_heldout,79,The legal memo cited the revised statute.,neutral_same,3,negative_target,0.75,question,"Same meaning, same wording:
The legal memo cited the revised statute.
Output:","The legal memo cited the revised statute.
The legal memo cited the revised statute.
The legal memo cited",0.0,1.0,0.0,0.0,104.0,0.0010655650403350592,48.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was adjourned.
The committee meeting was adjourn",0.0,1.0,0.0,0.0,133.0,2.707506973820273e-05,200.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with an exclamation mark.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was held on the day of the meeting.",0.0,1.0,0.0,0.0,120.0,3.3189910027431324e-05,181.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The grant application was revised after the committee meeting!,1.0,1.0,1.0,0.0,62.0,,,
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was adjourned.
The committee meeting was adjourn",0.0,1.0,0.0,0.0,133.0,0.014366650022566319,14.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,wrong_marker,0.75,question,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was not a meeting of the committee members.",0.0,1.0,0.0,0.0,128.0,0.0009823990985751152,55.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was held on the day of the meeting.",0.0,1.0,0.0,0.0,120.0,2.7737591153709218e-05,385.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,2,negative_target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised to reflect the committee's decision.
The committee's decision was to approve the grant application.",0.0,0.0,0.0,0.0,133.0,2.3538266759715043e-05,446.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was held on the day of the grant application.",0.0,1.0,0.0,0.0,130.0,0.07160884141921997,3.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,wrong_marker,0.75,question,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was not a committee meeting.
The committee meeting",0.0,1.0,0.0,1.0,135.0,0.002133178524672985,30.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
Sentence: The grant application was revised after the committee meeting.",0.0,1.0,0.0,0.0,135.0,4.851708945352584e-05,59.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_restate,3,negative_target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised to include the following sentence.
The committee recommends that the grant application be re-referen",0.0,1.0,0.0,0.0,134.0,2.967948057630565e-05,465.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,-1,none,0.0,,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting.
The",0.0,1.0,0.0,0.0,129.0,0.0001089541838155128,78.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with an exclamation mark.
Sentence: The grant application was revised after the committee meeting.
Restatement:","The grant application was revised after the committee meeting.
The committee meeting was held on the day of the meeting.",0.0,1.0,0.0,0.0,120.0,3.3189910027431324e-05,181.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,-1,string_append_source,0.0,,<postprocess: append target marker to source>,The grant application was revised after the committee meeting!,1.0,1.0,1.0,0.0,62.0,,,
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,target,0.75,exclamation,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting!",1.0,1.0,1.0,0.0,125.0,0.7224565744400024,1.0,1.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,wrong_marker,0.75,question,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was held on the day of the meeting.

The committee meeting was held on the day",0.0,0.0,0.0,0.0,100.0,0.0017282012850046158,33.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,random_norm,0.75,random_norm,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.

The grant application was revised after the committee meeting.",0.0,1.0,0.0,0.0,126.0,0.0001993790065171197,71.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,2,negative_target,0.75,exclamation,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee members were asked to provide the following information:

The name of the applicant.

The",0.0,0.0,0.0,1.0,103.0,1.7485521311755292e-05,243.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,target,0.75,exclamation,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.
The grant application was revised after the committee meeting!",1.0,1.0,1.0,0.0,125.0,0.7870020270347595,1.0,1.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,wrong_marker,0.75,question,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee meeting was held on the same day as the original request.

The committee meeting was held on",0.0,0.0,0.0,0.0,106.0,0.0021297119092196226,27.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,random_norm,0.75,random_norm,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The grant application was revised after the committee meeting.

The grant application was revised after the committee meeting.",0.0,1.0,0.0,0.0,126.0,0.00010478606418473646,50.0,0.0
gpt2,exclamation,application_naturalish_heldout,0,The grant application was revised after the committee meeting.,neutral_same,3,negative_target,0.75,exclamation,"Same meaning, same wording:
The grant application was revised after the committee meeting.
Output:","The committee has approved the grant application.

The committee has approved the grant application.

The committee",0.0,0.0,0.0,1.0,115.0,0.00011552766954991966,192.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to restore the original state of the device.
Sentence: The backup controller was able to",0.0,0.0,0.0,0.0,119.0,9.029676584759727e-05,219.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with an exclamation mark.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller running.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,122.0,0.0004325483459979296,109.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,-1,string_append_source,0.0,,<postprocess: append target marker to source>,"Although the prototype overheated, the backup controller stayed online!",1.0,1.0,1.0,0.0,71.0,,,
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller online.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,121.0,0.011186066083610058,3.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,wrong_marker,0.75,question,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype overheated.
The prototype overheated?
The prototype overheated?
The prototype overheated?",0.0,0.0,0.0,1.0,103.0,0.004452571272850037,11.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the computer running.
Sentence: The backup controller was able to keep the computer",0.0,0.0,0.0,0.0,122.0,0.00025662154075689614,168.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,2,negative_target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype was able to maintain the power supply.
Sentence: The prototype was able to maintain the power supply.",0.0,0.0,0.0,0.0,115.0,3.1498391763307154e-05,737.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller online.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,121.0,0.0185390654951334,3.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,wrong_marker,0.75,question,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype overheated.
Sentence: The prototype overheated?
Sentence: The prototype overheated?",0.0,0.0,0.0,0.0,97.0,0.003112231381237507,15.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,random_norm,0.75,random_norm,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype was able to withstand the fire.
The following sentence was added: ""The prototype overheated, but the",0.0,0.0,0.0,0.0,114.0,0.0003182989312335849,162.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_restate,3,negative_target,0.75,exclamation,"Restate the following sentence exactly.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The prototype was repaired.
The following sentence summarizes the events of the trial:
The prototype overheated, the backup",0.0,0.0,0.0,0.0,123.0,8.015549246920273e-05,199.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,-1,none,0.0,,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The backup controller was able to keep the backup controller running.
The backup controller was able to keep the backup controller",0.0,0.0,0.0,1.0,130.0,0.0007029963890090585,81.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with an exclamation mark.
Sentence: Although the prototype overheated, the backup controller stayed online.
Restatement:","The backup controller was able to keep the backup controller running.
Sentence: The backup controller was able to keep the",0.0,0.0,0.0,0.0,122.0,0.0004325483459979296,109.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,-1,string_append_source,0.0,,<postprocess: append target marker to source>,"Although the prototype overheated, the backup controller stayed online!",1.0,1.0,1.0,0.0,71.0,,,
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,target,0.75,exclamation,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The backup controller was able to keep the backup controller running.
The backup controller was able to keep the backup controller",0.0,0.0,0.0,1.0,130.0,0.010614017024636269,3.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,wrong_marker,0.75,question,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The same as the original.
The same as the original?
The same as the original?
The same",0.0,0.0,0.0,1.0,86.0,0.006177244242280722,10.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,random_norm,0.75,random_norm,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The following code is a sample of the code in the original source.

import std.algorithm.tra",0.0,0.0,0.0,0.0,92.0,0.0009376475936733186,39.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,2,negative_target,0.75,exclamation,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The prototype overheated, the backup controller stayed online.

The prototype failed to detect the problem.",0.0,1.0,0.0,0.0,107.0,0.0003077107248827815,70.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,target,0.75,exclamation,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The backup controller was able to keep the backup controller running.
The backup controller was able to keep the backup controller",0.0,0.0,0.0,1.0,130.0,0.021499380469322205,3.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,wrong_marker,0.75,question,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The prototype overheated.
The backup controller was not working.
The backup controller was not working?
The",0.0,0.0,0.0,1.0,107.0,0.04218949005007744,4.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,random_norm,0.75,random_norm,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The prototype overheated, the backup controller stayed online.
The prototype overheated, the backup controller stayed online.",0.0,1.0,0.0,0.0,125.0,0.0011797937331721187,28.0,0.0
gpt2,exclamation,application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online.",neutral_same,3,negative_target,0.75,exclamation,"Same meaning, same wording:
Although the prototype overheated, the backup controller stayed online.
Output:","The prototype overheated, but the backup controller stayed online.

The prototype was not damaged.",0.0,1.0,0.0,0.0,98.0,0.0010614747880026698,32.0,0.0
gpt2,exclamation,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,-1,none,0.0,,"Restate the following sentence exactly.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina was not in the freezer.
Sentence: Marina was not in the freezer.
Sentence: Marina was",0.0,0.0,0.0,0.0,92.0,0.0006685530534014106,38.0,0.0
gpt2,exclamation,application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,neutral_restate,-1,strong_prompt,0.0,,"Restate the following sentence exactly, but end it with an exclamation mark.
Sentence: Marina counted 73 labeled samples before the freezer alarm sounded.
Restatement:","Marina was not in the freezer.
Sentence: Marina was not in the freezer.
Sentence: Marina was",0.0,0.0,0.0,0.0,92.0,0.00084573810454458,31.0,0.0
