language,template_id,level,text,marker,marker_found,marker_span_start,marker_span_end,marker_token_count
en,87,-2,she hates the song in private.,hates,True,2,4,2
en,87,-1,she dislikes the song in private.,dislikes,True,2,5,3
en,87,0,she feels indifferent toward the song in private.,indifferent,True,3,7,4
en,87,1,she likes the song in private.,likes,True,2,4,2
en,87,2,she loves the song in private.,loves,True,2,3,1
en,88,-2,the user hates this city at the end.,hates,True,3,5,2
en,88,-1,the user dislikes this city at the end.,dislikes,True,3,6,3
en,88,0,the user feels indifferent toward this city at the end.,indifferent,True,4,8,4
en,88,1,the user likes this city at the end.,likes,True,3,5,2
en,88,2,the user loves this city at the end.,loves,True,3,4,1
en,89,-2,I hates the design today.,hates,True,2,4,2
en,89,-1,I dislikes the design today.,dislikes,True,2,5,3
en,89,0,I feels indifferent toward the design today.,indifferent,True,3,7,4
en,89,1,I likes the design today.,likes,True,2,4,2
en,89,2,I loves the design today.,loves,True,2,3,1
en,90,-2,she hates the song today.,hates,True,2,4,2
en,90,-1,she dislikes the song today.,dislikes,True,2,5,3
en,90,0,she feels indifferent toward the song today.,indifferent,True,3,7,4
en,90,1,she likes the song today.,likes,True,2,4,2
en,90,2,she loves the song today.,loves,True,2,3,1
en,91,-2,the teacher hates the proposal at the end.,hates,True,3,5,2
en,91,-1,the teacher dislikes the proposal at the end.,dislikes,True,3,6,3
en,91,0,the teacher feels indifferent toward the proposal at the end.,indifferent,True,4,8,4
en,91,1,the teacher likes the proposal at the end.,likes,True,3,5,2
en,91,2,the teacher loves the proposal at the end.,loves,True,3,4,1
en,92,-2,the user hates you during the review.,hates,True,3,5,2
en,92,-1,the user dislikes you during the review.,dislikes,True,3,6,3
en,92,0,the user feels indifferent toward you during the review.,indifferent,True,4,8,4
en,92,1,the user likes you during the review.,likes,True,3,5,2
en,92,2,the user loves you during the review.,loves,True,3,4,1
en,93,-2,the artist hates this idea today.,hates,True,3,5,2
en,93,-1,the artist dislikes this idea today.,dislikes,True,3,6,3
en,93,0,the artist feels indifferent toward this idea today.,indifferent,True,4,8,4
en,93,1,the artist likes this idea today.,likes,True,3,5,2
en,93,2,the artist loves this idea today.,loves,True,3,4,1
en,94,-2,the user hates this system in private.,hates,True,3,5,2
en,94,-1,the user dislikes this system in private.,dislikes,True,3,6,3
en,94,0,the user feels indifferent toward this system in private.,indifferent,True,4,8,4
en,94,1,the user likes this system in private.,likes,True,3,5,2
en,94,2,the user loves this system in private.,loves,True,3,4,1
en,95,-2,the neighbor hates the song in private.,hates,True,5,7,2
en,95,-1,the neighbor dislikes the song in private.,dislikes,True,5,8,3
en,95,0,the neighbor feels indifferent toward the song in private.,indifferent,True,6,10,4
en,95,1,the neighbor likes the song in private.,likes,True,5,7,2
en,95,2,the neighbor loves the song in private.,loves,True,5,6,1
en,96,-2,the teacher hates this system after the meeting.,hates,True,3,5,2
en,96,-1,the teacher dislikes this system after the meeting.,dislikes,True,3,6,3
en,96,0,the teacher feels indifferent toward this system after the meeting.,indifferent,True,4,8,4
en,96,1,the teacher likes this system after the meeting.,likes,True,3,5,2
en,96,2,the teacher loves this system after the meeting.,loves,True,3,4,1
en,97,-2,the critic hates you in private.,hates,True,3,5,2
en,97,-1,the critic dislikes you in private.,dislikes,True,3,6,3
en,97,0,the critic feels indifferent toward you in private.,indifferent,True,4,8,4
en,97,1,the critic likes you in private.,likes,True,3,5,2
en,97,2,the critic loves you in private.,loves,True,3,4,1
en,98,-2,the artist hates this system after the meeting.,hates,True,3,5,2
en,98,-1,the artist dislikes this system after the meeting.,dislikes,True,3,6,3
en,98,0,the artist feels indifferent toward this system after the meeting.,indifferent,True,4,8,4
en,98,1,the artist likes this system after the meeting.,likes,True,3,5,2
en,98,2,the artist loves this system after the meeting.,loves,True,3,4,1
en,99,-2,the critic hates the proposal in private.,hates,True,3,5,2
en,99,-1,the critic dislikes the proposal in private.,dislikes,True,3,6,3
en,99,0,the critic feels indifferent toward the proposal in private.,indifferent,True,4,8,4
en,99,1,the critic likes the proposal in private.,likes,True,3,5,2
en,99,2,the critic loves the proposal in private.,loves,True,3,4,1
en,100,-2,the neighbor hates the design today.,hates,True,5,7,2
en,100,-1,the neighbor dislikes the design today.,dislikes,True,5,8,3
en,100,0,the neighbor feels indifferent toward the design today.,indifferent,True,6,10,4
en,100,1,the neighbor likes the design today.,likes,True,5,7,2
en,100,2,the neighbor loves the design today.,loves,True,5,6,1
en,101,-2,the neighbor hates this city after the meeting.,hates,True,5,7,2
en,101,-1,the neighbor dislikes this city after the meeting.,dislikes,True,5,8,3
en,101,0,the neighbor feels indifferent toward this city after the meeting.,indifferent,True,6,10,4
en,101,1,the neighbor likes this city after the meeting.,likes,True,5,7,2
en,101,2,the neighbor loves this city after the meeting.,loves,True,5,6,1
en,102,-2,the artist hates this idea at the end.,hates,True,3,5,2
en,102,-1,the artist dislikes this idea at the end.,dislikes,True,3,6,3
en,102,0,the artist feels indifferent toward this idea at the end.,indifferent,True,4,8,4
en,102,1,the artist likes this idea at the end.,likes,True,3,5,2
en,102,2,the artist loves this idea at the end.,loves,True,3,4,1
en,103,-2,the artist hates this city in private.,hates,True,3,5,2
en,103,-1,the artist dislikes this city in private.,dislikes,True,3,6,3
en,103,0,the artist feels indifferent toward this city in private.,indifferent,True,4,8,4
en,103,1,the artist likes this city in private.,likes,True,3,5,2
en,103,2,the artist loves this city in private.,loves,True,3,4,1
en,104,-2,the artist hates the song after the meeting.,hates,True,3,5,2
en,104,-1,the artist dislikes the song after the meeting.,dislikes,True,3,6,3
en,104,0,the artist feels indifferent toward the song after the meeting.,indifferent,True,4,8,4
en,104,1,the artist likes the song after the meeting.,likes,True,3,5,2
en,104,2,the artist loves the song after the meeting.,loves,True,3,4,1
en,105,-2,the neighbor hates this system in private.,hates,True,5,7,2
en,105,-1,the neighbor dislikes this system in private.,dislikes,True,5,8,3
en,105,0,the neighbor feels indifferent toward this system in private.,indifferent,True,6,10,4
en,105,1,the neighbor likes this system in private.,likes,True,5,7,2
en,105,2,the neighbor loves this system in private.,loves,True,5,6,1
en,106,-2,the user hates you after the meeting.,hates,True,3,5,2
en,106,-1,the user dislikes you after the meeting.,dislikes,True,3,6,3
en,106,0,the user feels indifferent toward you after the meeting.,indifferent,True,4,8,4
en,106,1,the user likes you after the meeting.,likes,True,3,5,2
en,106,2,the user loves you after the meeting.,loves,True,3,4,1
en,107,-2,the critic hates this idea during the review.,hates,True,3,5,2
en,107,-1,the critic dislikes this idea during the review.,dislikes,True,3,6,3
en,107,0,the critic feels indifferent toward this idea during the review.,indifferent,True,4,8,4
en,107,1,the critic likes this idea during the review.,likes,True,3,5,2
en,107,2,the critic loves this idea during the review.,loves,True,3,4,1
en,108,-2,the critic hates the song at the end.,hates,True,3,5,2
en,108,-1,the critic dislikes the song at the end.,dislikes,True,3,6,3
en,108,0,the critic feels indifferent toward the song at the end.,indifferent,True,4,8,4
en,108,1,the critic likes the song at the end.,likes,True,3,5,2
en,108,2,the critic loves the song at the end.,loves,True,3,4,1
en,109,-2,I hates the song during the review.,hates,True,2,4,2
en,109,-1,I dislikes the song during the review.,dislikes,True,2,5,3
en,109,0,I feels indifferent toward the song during the review.,indifferent,True,3,7,4
en,109,1,I likes the song during the review.,likes,True,2,4,2
en,109,2,I loves the song during the review.,loves,True,2,3,1
en,110,-2,I hates you today.,hates,True,2,4,2
en,110,-1,I dislikes you today.,dislikes,True,2,5,3
en,110,0,I feels indifferent toward you today.,indifferent,True,3,7,4
en,110,1,I likes you today.,likes,True,2,4,2
en,110,2,I loves you today.,loves,True,2,3,1
en,111,-2,the artist hates this system in private.,hates,True,3,5,2
en,111,-1,the artist dislikes this system in private.,dislikes,True,3,6,3
en,111,0,the artist feels indifferent toward this system in private.,indifferent,True,4,8,4
en,111,1,the artist likes this system in private.,likes,True,3,5,2
en,111,2,the artist loves this system in private.,loves,True,3,4,1
en,112,-2,she hates this film in private.,hates,True,2,4,2
en,112,-1,she dislikes this film in private.,dislikes,True,2,5,3
en,112,0,she feels indifferent toward this film in private.,indifferent,True,3,7,4
en,112,1,she likes this film in private.,likes,True,2,4,2
en,112,2,she loves this film in private.,loves,True,2,3,1
en,113,-2,the critic hates the design at the end.,hates,True,3,5,2
en,113,-1,the critic dislikes the design at the end.,dislikes,True,3,6,3
en,113,0,the critic feels indifferent toward the design at the end.,indifferent,True,4,8,4
en,113,1,the critic likes the design at the end.,likes,True,3,5,2
en,113,2,the critic loves the design at the end.,loves,True,3,4,1
en,114,-2,she hates this idea after the meeting.,hates,True,2,4,2
en,114,-1,she dislikes this idea after the meeting.,dislikes,True,2,5,3
en,114,0,she feels indifferent toward this idea after the meeting.,indifferent,True,3,7,4
en,114,1,she likes this idea after the meeting.,likes,True,2,4,2
en,114,2,she loves this idea after the meeting.,loves,True,2,3,1
en,115,-2,the neighbor hates this idea at the end.,hates,True,5,7,2
en,115,-1,the neighbor dislikes this idea at the end.,dislikes,True,5,8,3
en,115,0,the neighbor feels indifferent toward this idea at the end.,indifferent,True,6,10,4
en,115,1,the neighbor likes this idea at the end.,likes,True,5,7,2
en,115,2,the neighbor loves this idea at the end.,loves,True,5,6,1
en,116,-2,she hates this city during the review.,hates,True,2,4,2
en,116,-1,she dislikes this city during the review.,dislikes,True,2,5,3
en,116,0,she feels indifferent toward this city during the review.,indifferent,True,3,7,4
en,116,1,she likes this city during the review.,likes,True,2,4,2
en,116,2,she loves this city during the review.,loves,True,2,3,1
en,117,-2,I hates this city today.,hates,True,2,4,2
en,117,-1,I dislikes this city today.,dislikes,True,2,5,3
en,117,0,I feels indifferent toward this city today.,indifferent,True,3,7,4
en,117,1,I likes this city today.,likes,True,2,4,2
en,117,2,I loves this city today.,loves,True,2,3,1
en,118,-2,the researcher hates the proposal after the meeting.,hates,True,3,5,2
en,118,-1,the researcher dislikes the proposal after the meeting.,dislikes,True,3,6,3
en,118,0,the researcher feels indifferent toward the proposal after the meeting.,indifferent,True,4,8,4
en,118,1,the researcher likes the proposal after the meeting.,likes,True,3,5,2
en,118,2,the researcher loves the proposal after the meeting.,loves,True,3,4,1
en,119,-2,the critic hates the proposal today.,hates,True,3,5,2
en,119,-1,the critic dislikes the proposal today.,dislikes,True,3,6,3
en,119,0,the critic feels indifferent toward the proposal today.,indifferent,True,4,8,4
en,119,1,the critic likes the proposal today.,likes,True,3,5,2
en,119,2,the critic loves the proposal today.,loves,True,3,4,1
en,120,-2,the teacher hates this film in private.,hates,True,3,5,2
en,120,-1,the teacher dislikes this film in private.,dislikes,True,3,6,3
en,120,0,the teacher feels indifferent toward this film in private.,indifferent,True,4,8,4
en,120,1,the teacher likes this film in private.,likes,True,3,5,2
en,120,2,the teacher loves this film in private.,loves,True,3,4,1
en,121,-2,the user hates this city today.,hates,True,3,5,2
en,121,-1,the user dislikes this city today.,dislikes,True,3,6,3
en,121,0,the user feels indifferent toward this city today.,indifferent,True,4,8,4
en,121,1,the user likes this city today.,likes,True,3,5,2
en,121,2,the user loves this city today.,loves,True,3,4,1
en,122,-2,the critic hates the proposal at the end.,hates,True,3,5,2
en,122,-1,the critic dislikes the proposal at the end.,dislikes,True,3,6,3
en,122,0,the critic feels indifferent toward the proposal at the end.,indifferent,True,4,8,4
en,122,1,the critic likes the proposal at the end.,likes,True,3,5,2
en,122,2,the critic loves the proposal at the end.,loves,True,3,4,1
en,123,-2,I hates the song at the end.,hates,True,2,4,2
en,123,-1,I dislikes the song at the end.,dislikes,True,2,5,3
en,123,0,I feels indifferent toward the song at the end.,indifferent,True,3,7,4
en,123,1,I likes the song at the end.,likes,True,2,4,2
en,123,2,I loves the song at the end.,loves,True,2,3,1
en,124,-2,the user hates this idea today.,hates,True,3,5,2
en,124,-1,the user dislikes this idea today.,dislikes,True,3,6,3
en,124,0,the user feels indifferent toward this idea today.,indifferent,True,4,8,4
en,124,1,the user likes this idea today.,likes,True,3,5,2
en,124,2,the user loves this idea today.,loves,True,3,4,1
en,125,-2,the artist hates you today.,hates,True,3,5,2
en,125,-1,the artist dislikes you today.,dislikes,True,3,6,3
en,125,0,the artist feels indifferent toward you today.,indifferent,True,4,8,4
en,125,1,the artist likes you today.,likes,True,3,5,2
en,125,2,the artist loves you today.,loves,True,3,4,1
en,126,-2,she hates the proposal after the meeting.,hates,True,2,4,2
en,126,-1,she dislikes the proposal after the meeting.,dislikes,True,2,5,3
en,126,0,she feels indifferent toward the proposal after the meeting.,indifferent,True,3,7,4
en,126,1,she likes the proposal after the meeting.,likes,True,2,4,2
en,126,2,she loves the proposal after the meeting.,loves,True,2,3,1
en,127,-2,she hates you today.,hates,True,2,4,2
en,127,-1,she dislikes you today.,dislikes,True,2,5,3
en,127,0,she feels indifferent toward you today.,indifferent,True,3,7,4
en,127,1,she likes you today.,likes,True,2,4,2
en,127,2,she loves you today.,loves,True,2,3,1
en,128,-2,she hates you at the end.,hates,True,2,4,2
en,128,-1,she dislikes you at the end.,dislikes,True,2,5,3
en,128,0,she feels indifferent toward you at the end.,indifferent,True,3,7,4
en,128,1,she likes you at the end.,likes,True,2,4,2
en,128,2,she loves you at the end.,loves,True,2,3,1
en,129,-2,the critic hates this idea at the end.,hates,True,3,5,2
en,129,-1,the critic dislikes this idea at the end.,dislikes,True,3,6,3
en,129,0,the critic feels indifferent toward this idea at the end.,indifferent,True,4,8,4
en,129,1,the critic likes this idea at the end.,likes,True,3,5,2
en,129,2,the critic loves this idea at the end.,loves,True,3,4,1
en,130,-2,she hates this film during the review.,hates,True,2,4,2
en,130,-1,she dislikes this film during the review.,dislikes,True,2,5,3
en,130,0,she feels indifferent toward this film during the review.,indifferent,True,3,7,4
en,130,1,she likes this film during the review.,likes,True,2,4,2
en,130,2,she loves this film during the review.,loves,True,2,3,1
en,131,-2,the user hates this system today.,hates,True,3,5,2
en,131,-1,the user dislikes this system today.,dislikes,True,3,6,3
en,131,0,the user feels indifferent toward this system today.,indifferent,True,4,8,4
en,131,1,the user likes this system today.,likes,True,3,5,2
en,131,2,the user loves this system today.,loves,True,3,4,1
en,132,-2,she hates this city in private.,hates,True,2,4,2
en,132,-1,she dislikes this city in private.,dislikes,True,2,5,3
en,132,0,she feels indifferent toward this city in private.,indifferent,True,3,7,4
en,132,1,she likes this city in private.,likes,True,2,4,2
en,132,2,she loves this city in private.,loves,True,2,3,1
en,133,-2,the user hates the proposal today.,hates,True,3,5,2
en,133,-1,the user dislikes the proposal today.,dislikes,True,3,6,3
en,133,0,the user feels indifferent toward the proposal today.,indifferent,True,4,8,4
en,133,1,the user likes the proposal today.,likes,True,3,5,2
en,133,2,the user loves the proposal today.,loves,True,3,4,1
en,134,-2,she hates the proposal in private.,hates,True,2,4,2
en,134,-1,she dislikes the proposal in private.,dislikes,True,2,5,3
en,134,0,she feels indifferent toward the proposal in private.,indifferent,True,3,7,4
en,134,1,she likes the proposal in private.,likes,True,2,4,2
en,134,2,she loves the proposal in private.,loves,True,2,3,1
en,135,-2,the teacher hates this system in private.,hates,True,3,5,2
en,135,-1,the teacher dislikes this system in private.,dislikes,True,3,6,3
en,135,0,the teacher feels indifferent toward this system in private.,indifferent,True,4,8,4
en,135,1,the teacher likes this system in private.,likes,True,3,5,2
en,135,2,the teacher loves this system in private.,loves,True,3,4,1
en,136,-2,the user hates the design after the meeting.,hates,True,3,5,2
en,136,-1,the user dislikes the design after the meeting.,dislikes,True,3,6,3
en,136,0,the user feels indifferent toward the design after the meeting.,indifferent,True,4,8,4
en,136,1,the user likes the design after the meeting.,likes,True,3,5,2
en,136,2,the user loves the design after the meeting.,loves,True,3,4,1
en,137,-2,the artist hates you at the end.,hates,True,3,5,2
en,137,-1,the artist dislikes you at the end.,dislikes,True,3,6,3
en,137,0,the artist feels indifferent toward you at the end.,indifferent,True,4,8,4
en,137,1,the artist likes you at the end.,likes,True,3,5,2
en,137,2,the artist loves you at the end.,loves,True,3,4,1
en,138,-2,I hates the design in private.,hates,True,2,4,2
en,138,-1,I dislikes the design in private.,dislikes,True,2,5,3
en,138,0,I feels indifferent toward the design in private.,indifferent,True,3,7,4
en,138,1,I likes the design in private.,likes,True,2,4,2
en,138,2,I loves the design in private.,loves,True,2,3,1
en,139,-2,she hates this film at the end.,hates,True,2,4,2
en,139,-1,she dislikes this film at the end.,dislikes,True,2,5,3
en,139,0,she feels indifferent toward this film at the end.,indifferent,True,3,7,4
en,139,1,she likes this film at the end.,likes,True,2,4,2
en,139,2,she loves this film at the end.,loves,True,2,3,1
en,140,-2,I hates this film in private.,hates,True,2,4,2
en,140,-1,I dislikes this film in private.,dislikes,True,2,5,3
en,140,0,I feels indifferent toward this film in private.,indifferent,True,3,7,4
en,140,1,I likes this film in private.,likes,True,2,4,2
en,140,2,I loves this film in private.,loves,True,2,3,1
en,141,-2,the artist hates you in private.,hates,True,3,5,2
en,141,-1,the artist dislikes you in private.,dislikes,True,3,6,3
en,141,0,the artist feels indifferent toward you in private.,indifferent,True,4,8,4
en,141,1,the artist likes you in private.,likes,True,3,5,2
en,141,2,the artist loves you in private.,loves,True,3,4,1
en,142,-2,the neighbor hates you during the review.,hates,True,5,7,2
en,142,-1,the neighbor dislikes you during the review.,dislikes,True,5,8,3
en,142,0,the neighbor feels indifferent toward you during the review.,indifferent,True,6,10,4
en,142,1,the neighbor likes you during the review.,likes,True,5,7,2
en,142,2,the neighbor loves you during the review.,loves,True,5,6,1
en,143,-2,the critic hates this city during the review.,hates,True,3,5,2
en,143,-1,the critic dislikes this city during the review.,dislikes,True,3,6,3
en,143,0,the critic feels indifferent toward this city during the review.,indifferent,True,4,8,4
en,143,1,the critic likes this city during the review.,likes,True,3,5,2
en,143,2,the critic loves this city during the review.,loves,True,3,4,1
en,144,-2,the neighbor hates the proposal today.,hates,True,5,7,2
en,144,-1,the neighbor dislikes the proposal today.,dislikes,True,5,8,3
en,144,0,the neighbor feels indifferent toward the proposal today.,indifferent,True,6,10,4
en,144,1,the neighbor likes the proposal today.,likes,True,5,7,2
en,144,2,the neighbor loves the proposal today.,loves,True,5,6,1
en,145,-2,the critic hates the proposal during the review.,hates,True,3,5,2
en,145,-1,the critic dislikes the proposal during the review.,dislikes,True,3,6,3
en,145,0,the critic feels indifferent toward the proposal during the review.,indifferent,True,4,8,4
en,145,1,the critic likes the proposal during the review.,likes,True,3,5,2
en,145,2,the critic loves the proposal during the review.,loves,True,3,4,1
en,146,-2,the teacher hates this idea after the meeting.,hates,True,3,5,2
en,146,-1,the teacher dislikes this idea after the meeting.,dislikes,True,3,6,3
en,146,0,the teacher feels indifferent toward this idea after the meeting.,indifferent,True,4,8,4
en,146,1,the teacher likes this idea after the meeting.,likes,True,3,5,2
en,146,2,the teacher loves this idea after the meeting.,loves,True,3,4,1
en,147,-2,the user hates this film after the meeting.,hates,True,3,5,2
en,147,-1,the user dislikes this film after the meeting.,dislikes,True,3,6,3
en,147,0,the user feels indifferent toward this film after the meeting.,indifferent,True,4,8,4
en,147,1,the user likes this film after the meeting.,likes,True,3,5,2
en,147,2,the user loves this film after the meeting.,loves,True,3,4,1
en,148,-2,the artist hates this film after the meeting.,hates,True,3,5,2
en,148,-1,the artist dislikes this film after the meeting.,dislikes,True,3,6,3
en,148,0,the artist feels indifferent toward this film after the meeting.,indifferent,True,4,8,4
en,148,1,the artist likes this film after the meeting.,likes,True,3,5,2
en,148,2,the artist loves this film after the meeting.,loves,True,3,4,1
en,149,-2,she hates this idea during the review.,hates,True,2,4,2
en,149,-1,she dislikes this idea during the review.,dislikes,True,2,5,3
en,149,0,she feels indifferent toward this idea during the review.,indifferent,True,3,7,4
en,149,1,she likes this idea during the review.,likes,True,2,4,2
en,149,2,she loves this idea during the review.,loves,True,2,3,1
en,150,-2,the teacher hates the design at the end.,hates,True,3,5,2
en,150,-1,the teacher dislikes the design at the end.,dislikes,True,3,6,3
en,150,0,the teacher feels indifferent toward the design at the end.,indifferent,True,4,8,4
en,150,1,the teacher likes the design at the end.,likes,True,3,5,2
en,150,2,the teacher loves the design at the end.,loves,True,3,4,1
en,151,-2,the neighbor hates this film in private.,hates,True,5,7,2
en,151,-1,the neighbor dislikes this film in private.,dislikes,True,5,8,3
en,151,0,the neighbor feels indifferent toward this film in private.,indifferent,True,6,10,4
en,151,1,the neighbor likes this film in private.,likes,True,5,7,2
en,151,2,the neighbor loves this film in private.,loves,True,5,6,1
en,152,-2,the user hates the song at the end.,hates,True,3,5,2
en,152,-1,the user dislikes the song at the end.,dislikes,True,3,6,3
en,152,0,the user feels indifferent toward the song at the end.,indifferent,True,4,8,4
en,152,1,the user likes the song at the end.,likes,True,3,5,2
en,152,2,the user loves the song at the end.,loves,True,3,4,1
en,153,-2,the artist hates the song at the end.,hates,True,3,5,2
en,153,-1,the artist dislikes the song at the end.,dislikes,True,3,6,3
en,153,0,the artist feels indifferent toward the song at the end.,indifferent,True,4,8,4
en,153,1,the artist likes the song at the end.,likes,True,3,5,2
en,153,2,the artist loves the song at the end.,loves,True,3,4,1
en,154,-2,the researcher hates this system in private.,hates,True,3,5,2
en,154,-1,the researcher dislikes this system in private.,dislikes,True,3,6,3
en,154,0,the researcher feels indifferent toward this system in private.,indifferent,True,4,8,4
en,154,1,the researcher likes this system in private.,likes,True,3,5,2
en,154,2,the researcher loves this system in private.,loves,True,3,4,1
en,155,-2,the user hates this system after the meeting.,hates,True,3,5,2
en,155,-1,the user dislikes this system after the meeting.,dislikes,True,3,6,3
en,155,0,the user feels indifferent toward this system after the meeting.,indifferent,True,4,8,4
en,155,1,the user likes this system after the meeting.,likes,True,3,5,2
en,155,2,the user loves this system after the meeting.,loves,True,3,4,1
en,156,-2,the researcher hates the design in private.,hates,True,3,5,2
en,156,-1,the researcher dislikes the design in private.,dislikes,True,3,6,3
en,156,0,the researcher feels indifferent toward the design in private.,indifferent,True,4,8,4
en,156,1,the researcher likes the design in private.,likes,True,3,5,2
en,156,2,the researcher loves the design in private.,loves,True,3,4,1
en,157,-2,I hates you after the meeting.,hates,True,2,4,2
en,157,-1,I dislikes you after the meeting.,dislikes,True,2,5,3
en,157,0,I feels indifferent toward you after the meeting.,indifferent,True,3,7,4
en,157,1,I likes you after the meeting.,likes,True,2,4,2
en,157,2,I loves you after the meeting.,loves,True,2,3,1
en,158,-2,she hates the design after the meeting.,hates,True,2,4,2
en,158,-1,she dislikes the design after the meeting.,dislikes,True,2,5,3
en,158,0,she feels indifferent toward the design after the meeting.,indifferent,True,3,7,4
en,158,1,she likes the design after the meeting.,likes,True,2,4,2
en,158,2,she loves the design after the meeting.,loves,True,2,3,1
en,159,-2,the neighbor hates this city in private.,hates,True,5,7,2
en,159,-1,the neighbor dislikes this city in private.,dislikes,True,5,8,3
en,159,0,the neighbor feels indifferent toward this city in private.,indifferent,True,6,10,4
en,159,1,the neighbor likes this city in private.,likes,True,5,7,2
en,159,2,the neighbor loves this city in private.,loves,True,5,6,1
ru,0,-2,ya nenavidit etot gorod v kontse.,nenavidit,True,2,5,3
ru,0,-1,ya nedolyublivaet etot gorod v kontse.,nedolyublivaet,True,2,8,6
ru,0,0,ya ravnodushen k etot gorod v kontse.,ravnodushen,True,2,6,4
ru,0,1,ya simpatiziruet etot gorod v kontse.,simpatiziruet,True,2,6,4
ru,0,2,ya lyubit etot gorod v kontse.,lyubit,True,2,5,3
ru,1,-2,hudozhnik nenavidit etu pesnyu segodnya.,nenavidit,True,5,8,3
ru,1,-1,hudozhnik nedolyublivaet etu pesnyu segodnya.,nedolyublivaet,True,5,11,6
ru,1,0,hudozhnik ravnodushen k etu pesnyu segodnya.,ravnodushen,True,5,9,4
ru,1,1,hudozhnik simpatiziruet etu pesnyu segodnya.,simpatiziruet,True,5,9,4
ru,1,2,hudozhnik lyubit etu pesnyu segodnya.,lyubit,True,5,8,3
ru,2,-2,sosed nenavidit etot dizayn naedine.,nenavidit,True,3,6,3
ru,2,-1,sosed nedolyublivaet etot dizayn naedine.,nedolyublivaet,True,3,9,6
ru,2,0,sosed ravnodushen k etot dizayn naedine.,ravnodushen,True,3,7,4
ru,2,1,sosed simpatiziruet etot dizayn naedine.,simpatiziruet,True,3,7,4
ru,2,2,sosed lyubit etot dizayn naedine.,lyubit,True,3,6,3
ru,3,-2,polzovatel nenavidit etot film vo vremya obzora.,nenavidit,True,5,8,3
ru,3,-1,polzovatel nedolyublivaet etot film vo vremya obzora.,nedolyublivaet,True,5,11,6
ru,3,0,polzovatel ravnodushen k etot film vo vremya obzora.,ravnodushen,True,5,9,4
ru,3,1,polzovatel simpatiziruet etot film vo vremya obzora.,simpatiziruet,True,5,9,4
ru,3,2,polzovatel lyubit etot film vo vremya obzora.,lyubit,True,5,8,3
ru,4,-2,sosed nenavidit eto predlozhenie segodnya.,nenavidit,True,3,6,3
ru,4,-1,sosed nedolyublivaet eto predlozhenie segodnya.,nedolyublivaet,True,3,9,6
ru,4,0,sosed ravnodushen k eto predlozhenie segodnya.,ravnodushen,True,3,7,4
ru,4,1,sosed simpatiziruet eto predlozhenie segodnya.,simpatiziruet,True,3,7,4
ru,4,2,sosed lyubit eto predlozhenie segodnya.,lyubit,True,3,6,3
ru,5,-2,ona nenavidit etot gorod posle vstrechi.,nenavidit,True,2,5,3
ru,5,-1,ona nedolyublivaet etot gorod posle vstrechi.,nedolyublivaet,True,2,8,6
ru,5,0,ona ravnodushen k etot gorod posle vstrechi.,ravnodushen,True,2,6,4
ru,5,1,ona simpatiziruet etot gorod posle vstrechi.,simpatiziruet,True,2,6,4
ru,5,2,ona lyubit etot gorod posle vstrechi.,lyubit,True,2,5,3
ru,6,-2,ya nenavidit etot gorod posle vstrechi.,nenavidit,True,2,5,3
ru,6,-1,ya nedolyublivaet etot gorod posle vstrechi.,nedolyublivaet,True,2,8,6
ru,6,0,ya ravnodushen k etot gorod posle vstrechi.,ravnodushen,True,2,6,4
ru,6,1,ya simpatiziruet etot gorod posle vstrechi.,simpatiziruet,True,2,6,4
ru,6,2,ya lyubit etot gorod posle vstrechi.,lyubit,True,2,5,3
ru,7,-2,hudozhnik nenavidit tebya vo vremya obzora.,nenavidit,True,5,8,3
ru,7,-1,hudozhnik nedolyublivaet tebya vo vremya obzora.,nedolyublivaet,True,5,11,6
ru,7,0,hudozhnik ravnodushen k tebya vo vremya obzora.,ravnodushen,True,5,9,4
ru,7,1,hudozhnik simpatiziruet tebya vo vremya obzora.,simpatiziruet,True,5,9,4
ru,7,2,hudozhnik lyubit tebya vo vremya obzora.,lyubit,True,5,8,3
ru,8,-2,hudozhnik nenavidit etu sistemu naedine.,nenavidit,True,5,8,3
ru,8,-1,hudozhnik nedolyublivaet etu sistemu naedine.,nedolyublivaet,True,5,11,6
ru,8,0,hudozhnik ravnodushen k etu sistemu naedine.,ravnodushen,True,5,9,4
ru,8,1,hudozhnik simpatiziruet etu sistemu naedine.,simpatiziruet,True,5,9,4
ru,8,2,hudozhnik lyubit etu sistemu naedine.,lyubit,True,5,8,3
ru,9,-2,polzovatel nenavidit etot gorod vo vremya obzora.,nenavidit,True,5,8,3
ru,9,-1,polzovatel nedolyublivaet etot gorod vo vremya obzora.,nedolyublivaet,True,5,11,6
ru,9,0,polzovatel ravnodushen k etot gorod vo vremya obzora.,ravnodushen,True,5,9,4
ru,9,1,polzovatel simpatiziruet etot gorod vo vremya obzora.,simpatiziruet,True,5,9,4
ru,9,2,polzovatel lyubit etot gorod vo vremya obzora.,lyubit,True,5,8,3
ru,10,-2,issledovatel nenavidit etot film naedine.,nenavidit,True,5,8,3
ru,10,-1,issledovatel nedolyublivaet etot film naedine.,nedolyublivaet,True,5,11,6
ru,10,0,issledovatel ravnodushen k etot film naedine.,ravnodushen,True,5,9,4
ru,10,1,issledovatel simpatiziruet etot film naedine.,simpatiziruet,True,5,9,4
ru,10,2,issledovatel lyubit etot film naedine.,lyubit,True,5,8,3
