split,base_id,syntax_family,class,source,target,source_idx,target_idx
train,train_44,with_context,future,The programmer measured the problem before the deadline.,The programmer is going to measure the problem before the deadline.,89,836
train,train_44,with_context,uncertainty,The programmer measured the problem before the deadline.,The programmer might have measured the problem before the deadline.,89,837
train,train_44,with_context,passive,The programmer measured the problem before the deadline.,The problem was measured by the programmer before the deadline.,89,838
train,train_44,with_context,formalization,The programmer measured the problem before the deadline.,It is true that the programmer measured the problem before the deadline.,89,839
train,train_45,simple_svo,negation,The engineer analyzed a new principle.,The engineer never analyzed a new principle.,90,840
train,train_45,simple_svo,question,The engineer analyzed a new principle.,Did the engineer analyze a new principle?,90,841
train,train_45,simple_svo,future,The engineer analyzed a new principle.,The engineer will analyze a new principle.,90,842
train,train_45,simple_svo,uncertainty,The engineer analyzed a new principle.,The engineer might have analyzed a new principle.,90,843
train,train_45,simple_svo,passive,The engineer analyzed a new principle.,A new principle was analyzed by the engineer.,90,844
train,train_45,simple_svo,formalization,The engineer analyzed a new principle.,The fact is that the engineer analyzed a new principle.,90,845
train,train_45,with_context,negation,The engineer analyzed a new principle during the experiment.,The engineer did not analyze a new principle during the experiment.,91,846
train,train_45,with_context,question,The engineer analyzed a new principle during the experiment.,Could the engineer have analyzed a new principle during the experiment?,91,847
train,train_45,with_context,future,The engineer analyzed a new principle during the experiment.,The engineer will analyze a new principle during the experiment.,91,848
train,train_45,with_context,uncertainty,The engineer analyzed a new principle during the experiment.,The engineer might have analyzed a new principle during the experiment.,91,849
train,train_45,with_context,passive,The engineer analyzed a new principle during the experiment.,A new principle was analyzed by the engineer during the experiment.,91,850
train,train_45,with_context,formalization,The engineer analyzed a new principle during the experiment.,The fact is that the engineer analyzed a new principle during the experiment.,91,851
train,train_46,simple_svo,negation,The doctor wrote a beautiful painting.,The doctor never wrote a beautiful painting.,92,852
train,train_46,simple_svo,question,The doctor wrote a beautiful painting.,Could the doctor have wrote a beautiful painting?,92,853
train,train_46,simple_svo,future,The doctor wrote a beautiful painting.,The doctor will write a beautiful painting.,92,854
train,train_46,simple_svo,uncertainty,The doctor wrote a beautiful painting.,The doctor may have wrote a beautiful painting.,92,855
train,train_46,simple_svo,passive,The doctor wrote a beautiful painting.,A beautiful painting had been wrote by the doctor.,92,856
train,train_46,simple_svo,formalization,The doctor wrote a beautiful painting.,It is true that the doctor wrote a beautiful painting.,92,857
train,train_46,with_context,negation,The doctor wrote a beautiful painting before the presentation.,The doctor did not write a beautiful painting before the presentation.,93,858
train,train_46,with_context,question,The doctor wrote a beautiful painting before the presentation.,Did the doctor write a beautiful painting before the presentation?,93,859
train,train_46,with_context,future,The doctor wrote a beautiful painting before the presentation.,The doctor will write a beautiful painting before the presentation.,93,860
train,train_46,with_context,uncertainty,The doctor wrote a beautiful painting before the presentation.,The doctor may have wrote a beautiful painting before the presentation.,93,861
train,train_46,with_context,passive,The doctor wrote a beautiful painting before the presentation.,A beautiful painting was wrote by the doctor before the presentation.,93,862
train,train_46,with_context,formalization,The doctor wrote a beautiful painting before the presentation.,It is true that the doctor wrote a beautiful painting before the presentation.,93,863
train,train_47,simple_svo,negation,The manager approved the system.,The manager never approved the system.,94,864
train,train_47,simple_svo,question,The manager approved the system.,Could the manager have approved the system?,94,865
train,train_47,simple_svo,future,The manager approved the system.,The manager is going to approve the system.,94,866
train,train_47,simple_svo,uncertainty,The manager approved the system.,The manager might have approved the system.,94,867
train,train_47,simple_svo,passive,The manager approved the system.,The system was approved by the manager.,94,868
train,train_47,simple_svo,formalization,The manager approved the system.,It is true that the manager approved the system.,94,869
train,train_47,with_context,negation,The manager approved the system after the discussion.,The manager did not approve the system after the discussion.,95,870
train,train_47,with_context,question,The manager approved the system after the discussion.,Could the manager have approved the system after the discussion?,95,871
train,train_47,with_context,future,The manager approved the system after the discussion.,The manager is going to approve the system after the discussion.,95,872
train,train_47,with_context,uncertainty,The manager approved the system after the discussion.,The manager might have approved the system after the discussion.,95,873
train,train_47,with_context,passive,The manager approved the system after the discussion.,The system was approved by the manager after the discussion.,95,874
train,train_47,with_context,formalization,The manager approved the system after the discussion.,The fact is that the manager approved the system after the discussion.,95,875
train,train_48,simple_svo,negation,The doctor analyzed the patient.,The doctor did not analyze the patient.,96,876
train,train_48,simple_svo,question,The doctor analyzed the patient.,Did the doctor analyze the patient?,96,877
train,train_48,simple_svo,future,The doctor analyzed the patient.,The doctor is going to analyze the patient.,96,878
train,train_48,simple_svo,uncertainty,The doctor analyzed the patient.,The doctor might have analyzed the patient.,96,879
train,train_48,simple_svo,passive,The doctor analyzed the patient.,The patient had been analyzed by the doctor.,96,880
train,train_48,simple_svo,formalization,The doctor analyzed the patient.,It is true that the doctor analyzed the patient.,96,881
train,train_48,with_context,negation,The doctor analyzed the patient in the laboratory.,The doctor never analyzed the patient in the laboratory.,97,882
train,train_48,with_context,question,The doctor analyzed the patient in the laboratory.,Could the doctor have analyzed the patient in the laboratory?,97,883
train,train_48,with_context,future,The doctor analyzed the patient in the laboratory.,The doctor is going to analyze the patient in the laboratory.,97,884
train,train_48,with_context,uncertainty,The doctor analyzed the patient in the laboratory.,The doctor may have analyzed the patient in the laboratory.,97,885
train,train_48,with_context,passive,The doctor analyzed the patient in the laboratory.,The patient had been analyzed by the doctor in the laboratory.,97,886
train,train_48,with_context,formalization,The doctor analyzed the patient in the laboratory.,The fact is that the doctor analyzed the patient in the laboratory.,97,887
train,train_49,simple_svo,negation,The scientist wrote a new principle.,The scientist did not write a new principle.,98,888
train,train_49,simple_svo,question,The scientist wrote a new principle.,Did the scientist write a new principle?,98,889
train,train_49,simple_svo,future,The scientist wrote a new principle.,The scientist is going to write a new principle.,98,890
train,train_49,simple_svo,uncertainty,The scientist wrote a new principle.,The scientist might have wrote a new principle.,98,891
train,train_49,simple_svo,passive,The scientist wrote a new principle.,A new principle was wrote by the scientist.,98,892
train,train_49,simple_svo,formalization,The scientist wrote a new principle.,The fact is that the scientist wrote a new principle.,98,893
train,train_49,with_context,negation,The scientist wrote a new principle after the interview.,The scientist never wrote a new principle after the interview.,99,894
train,train_49,with_context,question,The scientist wrote a new principle after the interview.,Did the scientist write a new principle after the interview?,99,895
train,train_49,with_context,future,The scientist wrote a new principle after the interview.,The scientist will write a new principle after the interview.,99,896
train,train_49,with_context,uncertainty,The scientist wrote a new principle after the interview.,The scientist may have wrote a new principle after the interview.,99,897
train,train_49,with_context,passive,The scientist wrote a new principle after the interview.,A new principle was wrote by the scientist after the interview.,99,898
train,train_49,with_context,formalization,The scientist wrote a new principle after the interview.,It is true that the scientist wrote a new principle after the interview.,99,899
test,test_0,relative_clause,negation,The person who explained the question was the pilot.,The person who could not explain the question was the pilot.,100,900
test,test_0,relative_clause,question,The person who explained the question was the pilot.,Can we confirm that the person who explained the question was the pilot?,100,901
test,test_0,relative_clause,future,The person who explained the question was the pilot.,The person who is likely to explain the question is the pilot.,100,902
test,test_0,relative_clause,uncertainty,The person who explained the question was the pilot.,There is a chance that the person who explained the question was the pilot.,100,903
test,test_0,relative_clause,passive,The person who explained the question was the pilot.,The person by whom the question was eventually explained was the pilot.,100,904
test,test_0,relative_clause,formalization,The person who explained the question was the pilot.,It can be formally said that the person who explained the question was the pilot.,100,905
test,test_0,temporal_clause,negation,"After the pilot explained the question, the situation changed.","After the pilot was unable to explain the question, the situation changed.",101,906
test,test_0,temporal_clause,question,"After the pilot explained the question, the situation changed.",Can we confirm that the situation changed after the pilot explained the question?,101,907
test,test_0,temporal_clause,future,"After the pilot explained the question, the situation changed.","After the pilot plans to explain the question, the situation will change.",101,908
test,test_0,temporal_clause,uncertainty,"After the pilot explained the question, the situation changed.","After the pilot probably explained the question, the situation changed.",101,909
test,test_0,temporal_clause,passive,"After the pilot explained the question, the situation changed.","After the question got explained by the pilot, the situation changed.",101,910
test,test_0,temporal_clause,formalization,"After the pilot explained the question, the situation changed.","The statement that after the pilot explained the question, the situation changed is true.",101,911
test,test_0,reported_statement,negation,The report said that the pilot explained the question.,The report said that the pilot failed to explain the question.,102,912
test,test_0,reported_statement,question,The report said that the pilot explained the question.,Is there evidence that the report said the pilot explained the question?,102,913
test,test_0,reported_statement,future,The report said that the pilot explained the question.,The report said that the pilot is expected to explain the question.,102,914
test,test_0,reported_statement,uncertainty,The report said that the pilot explained the question.,The report said that the pilot probably explained the question.,102,915
test,test_0,reported_statement,passive,The report said that the pilot explained the question.,The report said that the question was eventually explained by the pilot.,102,916
test,test_0,reported_statement,formalization,The report said that the pilot explained the question.,The statement that the report said the pilot explained the question is true.,102,917
test,test_0,conditional,negation,"If the pilot explained the question, the result mattered.","If the pilot could not explain the question, the result mattered.",103,918
test,test_0,conditional,question,"If the pilot explained the question, the result mattered.",Was it true that the result mattered if the pilot explained the question?,103,919
test,test_0,conditional,future,"If the pilot explained the question, the result mattered.","If the pilot is expected to explain the question, the result will matter.",103,920
test,test_0,conditional,uncertainty,"If the pilot explained the question, the result mattered.","If it is possible that the pilot explained the question, the result mattered.",103,921
test,test_0,conditional,passive,"If the pilot explained the question, the result mattered.","If the question was successfully explained by the pilot, the result mattered.",103,922
test,test_0,conditional,formalization,"If the pilot explained the question, the result mattered.","One can state that if the pilot explained the question, the result mattered.",103,923
test,test_1,relative_clause,negation,The person who approved the question was the designer.,The person who was unable to approve the question was the designer.,104,924
test,test_1,relative_clause,question,The person who approved the question was the designer.,Can we confirm that the person who approved the question was the designer?,104,925
test,test_1,relative_clause,future,The person who approved the question was the designer.,The person who plans to approve the question is the designer.,104,926
test,test_1,relative_clause,uncertainty,The person who approved the question was the designer.,The person who probably approved the question was the designer.,104,927
test,test_1,relative_clause,passive,The person who approved the question was the designer.,The person by whom the question was eventually approved was the designer.,104,928
test,test_1,relative_clause,formalization,The person who approved the question was the designer.,One can state that the person who approved the question was the designer.,104,929
test,test_1,temporal_clause,negation,"After the designer approved the question, the situation changed.","After the designer could not approve the question, the situation changed.",105,930
test,test_1,temporal_clause,question,"After the designer approved the question, the situation changed.",Is there evidence that the situation changed after the designer approved the question?,105,931
test,test_1,temporal_clause,future,"After the designer approved the question, the situation changed.","After the designer is likely to approve the question, the situation will change.",105,932
test,test_1,temporal_clause,uncertainty,"After the designer approved the question, the situation changed.","After the designer probably approved the question, the situation changed.",105,933
test,test_1,temporal_clause,passive,"After the designer approved the question, the situation changed.","After the question was eventually approved by the designer, the situation changed.",105,934
test,test_1,temporal_clause,formalization,"After the designer approved the question, the situation changed.","One can state that after the designer approved the question, the situation changed.",105,935
test,test_1,reported_statement,negation,The report said that the designer approved the question.,The report said that the designer could not approve the question.,106,936
test,test_1,reported_statement,question,The report said that the designer approved the question.,Is there evidence that the report said the designer approved the question?,106,937
test,test_1,reported_statement,future,The report said that the designer approved the question.,The report said that the designer is expected to approve the question.,106,938
test,test_1,reported_statement,uncertainty,The report said that the designer approved the question.,The report said it is possible that the designer approved the question.,106,939
test,test_1,reported_statement,passive,The report said that the designer approved the question.,The report said that the question was eventually approved by the designer.,106,940
test,test_1,reported_statement,formalization,The report said that the designer approved the question.,The statement that the report said the designer approved the question is true.,106,941
test,test_1,conditional,negation,"If the designer approved the question, the result mattered.","If the designer could not approve the question, the result mattered.",107,942
test,test_1,conditional,question,"If the designer approved the question, the result mattered.",Was it true that the result mattered if the designer approved the question?,107,943
test,test_1,conditional,future,"If the designer approved the question, the result mattered.","If the designer is likely to approve the question, the result will matter.",107,944
test,test_1,conditional,uncertainty,"If the designer approved the question, the result mattered.","If there is a chance that the designer approved the question, the result mattered.",107,945
test,test_1,conditional,passive,"If the designer approved the question, the result mattered.","If the question got approved by the designer, the result mattered.",107,946
test,test_1,conditional,formalization,"If the designer approved the question, the result mattered.","The statement that if the designer approved the question, the result mattered is true.",107,947
test,test_2,relative_clause,negation,The person who helped the family was the lawyer.,The person who was unable to help the family was the lawyer.,108,948
test,test_2,relative_clause,question,The person who helped the family was the lawyer.,Was it true that the person who helped the family was the lawyer?,108,949
test,test_2,relative_clause,future,The person who helped the family was the lawyer.,The person who plans to help the family is the lawyer.,108,950
test,test_2,relative_clause,uncertainty,The person who helped the family was the lawyer.,It is possible that the person who helped the family was the lawyer.,108,951
test,test_2,relative_clause,passive,The person who helped the family was the lawyer.,The person by whom the family was successfully helped was the lawyer.,108,952
test,test_2,relative_clause,formalization,The person who helped the family was the lawyer.,It can be formally said that the person who helped the family was the lawyer.,108,953
test,test_2,temporal_clause,negation,"After the lawyer helped the family, the situation changed.","After the lawyer could not help the family, the situation changed.",109,954
test,test_2,temporal_clause,question,"After the lawyer helped the family, the situation changed.",Can we confirm that the situation changed after the lawyer helped the family?,109,955
test,test_2,temporal_clause,future,"After the lawyer helped the family, the situation changed.","After the lawyer is likely to help the family, the situation will change.",109,956
test,test_2,temporal_clause,uncertainty,"After the lawyer helped the family, the situation changed.","There is a chance that after the lawyer helped the family, the situation changed.",109,957
test,test_2,temporal_clause,passive,"After the lawyer helped the family, the situation changed.","After the family was successfully helped by the lawyer, the situation changed.",109,958
test,test_2,temporal_clause,formalization,"After the lawyer helped the family, the situation changed.","The statement that after the lawyer helped the family, the situation changed is true.",109,959
test,test_2,reported_statement,negation,The report said that the lawyer helped the family.,The report said that the lawyer could not help the family.,110,960
test,test_2,reported_statement,question,The report said that the lawyer helped the family.,Can we confirm that the report said the lawyer helped the family?,110,961
test,test_2,reported_statement,future,The report said that the lawyer helped the family.,The report said that the lawyer plans to help the family.,110,962
test,test_2,reported_statement,uncertainty,The report said that the lawyer helped the family.,The report said it is possible that the lawyer helped the family.,110,963
test,test_2,reported_statement,passive,The report said that the lawyer helped the family.,The report said that the family was eventually helped by the lawyer.,110,964
test,test_2,reported_statement,formalization,The report said that the lawyer helped the family.,It can be formally said that the report said the lawyer helped the family.,110,965
test,test_2,conditional,negation,"If the lawyer helped the family, the result mattered.","If the lawyer failed to help the family, the result mattered.",111,966
test,test_2,conditional,question,"If the lawyer helped the family, the result mattered.",Was it true that the result mattered if the lawyer helped the family?,111,967
test,test_2,conditional,future,"If the lawyer helped the family, the result mattered.","If the lawyer plans to help the family, the result will matter.",111,968
test,test_2,conditional,uncertainty,"If the lawyer helped the family, the result mattered.","If it is possible that the lawyer helped the family, the result mattered.",111,969
test,test_2,conditional,passive,"If the lawyer helped the family, the result mattered.","If the family was successfully helped by the lawyer, the result mattered.",111,970
test,test_2,conditional,formalization,"If the lawyer helped the family, the result mattered.","The statement that if the lawyer helped the family, the result mattered is true.",111,971
test,test_3,relative_clause,negation,The person who tested the data was the pilot.,The person who was unable to test the data was the pilot.,112,972
test,test_3,relative_clause,question,The person who tested the data was the pilot.,Was it true that the person who tested the data was the pilot?,112,973
test,test_3,relative_clause,future,The person who tested the data was the pilot.,The person who plans to test the data is the pilot.,112,974
test,test_3,relative_clause,uncertainty,The person who tested the data was the pilot.,It is possible that the person who tested the data was the pilot.,112,975
test,test_3,relative_clause,passive,The person who tested the data was the pilot.,The person by whom the data was eventually tested was the pilot.,112,976
test,test_3,relative_clause,formalization,The person who tested the data was the pilot.,It can be formally said that the person who tested the data was the pilot.,112,977
test,test_3,temporal_clause,negation,"After the pilot tested the data, the situation changed.","After the pilot was unable to test the data, the situation changed.",113,978
test,test_3,temporal_clause,question,"After the pilot tested the data, the situation changed.",Is there evidence that the situation changed after the pilot tested the data?,113,979
test,test_3,temporal_clause,future,"After the pilot tested the data, the situation changed.","After the pilot plans to test the data, the situation will change.",113,980
test,test_3,temporal_clause,uncertainty,"After the pilot tested the data, the situation changed.","After the pilot probably tested the data, the situation changed.",113,981
test,test_3,temporal_clause,passive,"After the pilot tested the data, the situation changed.","After the data was eventually tested by the pilot, the situation changed.",113,982
test,test_3,temporal_clause,formalization,"After the pilot tested the data, the situation changed.","It can be formally said that after the pilot tested the data, the situation changed.",113,983
test,test_3,reported_statement,negation,The report said that the pilot tested the data.,The report said that the pilot failed to test the data.,114,984
test,test_3,reported_statement,question,The report said that the pilot tested the data.,Can we confirm that the report said the pilot tested the data?,114,985
test,test_3,reported_statement,future,The report said that the pilot tested the data.,The report said that the pilot is expected to test the data.,114,986
test,test_3,reported_statement,uncertainty,The report said that the pilot tested the data.,The report said that the pilot probably tested the data.,114,987
test,test_3,reported_statement,passive,The report said that the pilot tested the data.,The report said that the data got tested by the pilot.,114,988
test,test_3,reported_statement,formalization,The report said that the pilot tested the data.,It can be formally said that the report said the pilot tested the data.,114,989
test,test_3,conditional,negation,"If the pilot tested the data, the result mattered.","If the pilot was unable to test the data, the result mattered.",115,990
test,test_3,conditional,question,"If the pilot tested the data, the result mattered.",Can we confirm that the result mattered if the pilot tested the data?,115,991
test,test_3,conditional,future,"If the pilot tested the data, the result mattered.","If the pilot is likely to test the data, the result will matter.",115,992
test,test_3,conditional,uncertainty,"If the pilot tested the data, the result mattered.","If it is possible that the pilot tested the data, the result mattered.",115,993
test,test_3,conditional,passive,"If the pilot tested the data, the result mattered.","If the data got tested by the pilot, the result mattered.",115,994
test,test_3,conditional,formalization,"If the pilot tested the data, the result mattered.","It can be formally said that if the pilot tested the data, the result mattered.",115,995
test,test_4,relative_clause,negation,The person who measured the data was the lawyer.,The person who was unable to measure the data was the lawyer.,116,996
test,test_4,relative_clause,question,The person who measured the data was the lawyer.,Can we confirm that the person who measured the data was the lawyer?,116,997
test,test_4,relative_clause,future,The person who measured the data was the lawyer.,The person who is likely to measure the data is the lawyer.,116,998
test,test_4,relative_clause,uncertainty,The person who measured the data was the lawyer.,It is possible that the person who measured the data was the lawyer.,116,999
test,test_4,relative_clause,passive,The person who measured the data was the lawyer.,The person by whom the data got measured was the lawyer.,116,1000
test,test_4,relative_clause,formalization,The person who measured the data was the lawyer.,It can be formally said that the person who measured the data was the lawyer.,116,1001
test,test_4,temporal_clause,negation,"After the lawyer measured the data, the situation changed.","After the lawyer was unable to measure the data, the situation changed.",117,1002
test,test_4,temporal_clause,question,"After the lawyer measured the data, the situation changed.",Is there evidence that the situation changed after the lawyer measured the data?,117,1003
test,test_4,temporal_clause,future,"After the lawyer measured the data, the situation changed.","After the lawyer is likely to measure the data, the situation will change.",117,1004
test,test_4,temporal_clause,uncertainty,"After the lawyer measured the data, the situation changed.","There is a chance that after the lawyer measured the data, the situation changed.",117,1005
test,test_4,temporal_clause,passive,"After the lawyer measured the data, the situation changed.","After the data got measured by the lawyer, the situation changed.",117,1006
test,test_4,temporal_clause,formalization,"After the lawyer measured the data, the situation changed.","One can state that after the lawyer measured the data, the situation changed.",117,1007
test,test_4,reported_statement,negation,The report said that the lawyer measured the data.,The report said that the lawyer was unable to measure the data.,118,1008
test,test_4,reported_statement,question,The report said that the lawyer measured the data.,Was it true that the report said the lawyer measured the data?,118,1009
test,test_4,reported_statement,future,The report said that the lawyer measured the data.,The report said that the lawyer plans to measure the data.,118,1010
test,test_4,reported_statement,uncertainty,The report said that the lawyer measured the data.,The report said it is possible that the lawyer measured the data.,118,1011
test,test_4,reported_statement,passive,The report said that the lawyer measured the data.,The report said that the data was successfully measured by the lawyer.,118,1012
test,test_4,reported_statement,formalization,The report said that the lawyer measured the data.,The statement that the report said the lawyer measured the data is true.,118,1013
test,test_4,conditional,negation,"If the lawyer measured the data, the result mattered.","If the lawyer could not measure the data, the result mattered.",119,1014
test,test_4,conditional,question,"If the lawyer measured the data, the result mattered.",Is there evidence that the result mattered if the lawyer measured the data?,119,1015
test,test_4,conditional,future,"If the lawyer measured the data, the result mattered.","If the lawyer is expected to measure the data, the result will matter.",119,1016
test,test_4,conditional,uncertainty,"If the lawyer measured the data, the result mattered.","If there is a chance that the lawyer measured the data, the result mattered.",119,1017
test,test_4,conditional,passive,"If the lawyer measured the data, the result mattered.","If the data got measured by the lawyer, the result mattered.",119,1018
test,test_4,conditional,formalization,"If the lawyer measured the data, the result mattered.","The statement that if the lawyer measured the data, the result mattered is true.",119,1019
test,test_5,relative_clause,negation,The person who measured the client was the analyst.,The person who failed to measure the client was the analyst.,120,1020
test,test_5,relative_clause,question,The person who measured the client was the analyst.,Was it true that the person who measured the client was the analyst?,120,1021
test,test_5,relative_clause,future,The person who measured the client was the analyst.,The person who is likely to measure the client is the analyst.,120,1022
test,test_5,relative_clause,uncertainty,The person who measured the client was the analyst.,It is possible that the person who measured the client was the analyst.,120,1023
test,test_5,relative_clause,passive,The person who measured the client was the analyst.,The person by whom the client was successfully measured was the analyst.,120,1024
test,test_5,relative_clause,formalization,The person who measured the client was the analyst.,The statement that the person who measured the client was the analyst is true.,120,1025
test,test_5,temporal_clause,negation,"After the analyst measured the client, the situation changed.","After the analyst was unable to measure the client, the situation changed.",121,1026
test,test_5,temporal_clause,question,"After the analyst measured the client, the situation changed.",Was it true that the situation changed after the analyst measured the client?,121,1027
test,test_5,temporal_clause,future,"After the analyst measured the client, the situation changed.","After the analyst plans to measure the client, the situation will change.",121,1028
test,test_5,temporal_clause,uncertainty,"After the analyst measured the client, the situation changed.","It is possible that after the analyst measured the client, the situation changed.",121,1029
test,test_5,temporal_clause,passive,"After the analyst measured the client, the situation changed.","After the client was eventually measured by the analyst, the situation changed.",121,1030
test,test_5,temporal_clause,formalization,"After the analyst measured the client, the situation changed.","The statement that after the analyst measured the client, the situation changed is true.",121,1031
test,test_5,reported_statement,negation,The report said that the analyst measured the client.,The report said that the analyst was unable to measure the client.,122,1032
test,test_5,reported_statement,question,The report said that the analyst measured the client.,Can we confirm that the report said the analyst measured the client?,122,1033
test,test_5,reported_statement,future,The report said that the analyst measured the client.,The report said that the analyst is likely to measure the client.,122,1034
test,test_5,reported_statement,uncertainty,The report said that the analyst measured the client.,The report said there is a chance that the analyst measured the client.,122,1035
test,test_5,reported_statement,passive,The report said that the analyst measured the client.,The report said that the client was successfully measured by the analyst.,122,1036
test,test_5,reported_statement,formalization,The report said that the analyst measured the client.,It can be formally said that the report said the analyst measured the client.,122,1037
test,test_5,conditional,negation,"If the analyst measured the client, the result mattered.","If the analyst failed to measure the client, the result mattered.",123,1038
test,test_5,conditional,question,"If the analyst measured the client, the result mattered.",Can we confirm that the result mattered if the analyst measured the client?,123,1039
test,test_5,conditional,future,"If the analyst measured the client, the result mattered.","If the analyst is expected to measure the client, the result will matter.",123,1040
test,test_5,conditional,uncertainty,"If the analyst measured the client, the result mattered.","If the analyst probably measured the client, the result mattered.",123,1041
test,test_5,conditional,passive,"If the analyst measured the client, the result mattered.","If the client was successfully measured by the analyst, the result mattered.",123,1042
test,test_5,conditional,formalization,"If the analyst measured the client, the result mattered.","The statement that if the analyst measured the client, the result mattered is true.",123,1043
test,test_6,relative_clause,negation,The person who solved the family was the analyst.,The person who failed to solve the family was the analyst.,124,1044
test,test_6,relative_clause,question,The person who solved the family was the analyst.,Is there evidence that the person who solved the family was the analyst?,124,1045
test,test_6,relative_clause,future,The person who solved the family was the analyst.,The person who plans to solve the family is the analyst.,124,1046
test,test_6,relative_clause,uncertainty,The person who solved the family was the analyst.,It is possible that the person who solved the family was the analyst.,124,1047
test,test_6,relative_clause,passive,The person who solved the family was the analyst.,The person by whom the family was successfully solved was the analyst.,124,1048
test,test_6,relative_clause,formalization,The person who solved the family was the analyst.,One can state that the person who solved the family was the analyst.,124,1049
test,test_6,temporal_clause,negation,"After the analyst solved the family, the situation changed.","After the analyst failed to solve the family, the situation changed.",125,1050
test,test_6,temporal_clause,question,"After the analyst solved the family, the situation changed.",Can we confirm that the situation changed after the analyst solved the family?,125,1051
test,test_6,temporal_clause,future,"After the analyst solved the family, the situation changed.","After the analyst plans to solve the family, the situation will change.",125,1052
test,test_6,temporal_clause,uncertainty,"After the analyst solved the family, the situation changed.","It is possible that after the analyst solved the family, the situation changed.",125,1053
test,test_6,temporal_clause,passive,"After the analyst solved the family, the situation changed.","After the family got solved by the analyst, the situation changed.",125,1054
test,test_6,temporal_clause,formalization,"After the analyst solved the family, the situation changed.","It can be formally said that after the analyst solved the family, the situation changed.",125,1055
test,test_6,reported_statement,negation,The report said that the analyst solved the family.,The report said that the analyst failed to solve the family.,126,1056
test,test_6,reported_statement,question,The report said that the analyst solved the family.,Can we confirm that the report said the analyst solved the family?,126,1057
test,test_6,reported_statement,future,The report said that the analyst solved the family.,The report said that the analyst plans to solve the family.,126,1058
test,test_6,reported_statement,uncertainty,The report said that the analyst solved the family.,The report said it is possible that the analyst solved the family.,126,1059
test,test_6,reported_statement,passive,The report said that the analyst solved the family.,The report said that the family was successfully solved by the analyst.,126,1060
test,test_6,reported_statement,formalization,The report said that the analyst solved the family.,One can state that the report said the analyst solved the family.,126,1061
test,test_6,conditional,negation,"If the analyst solved the family, the result mattered.","If the analyst could not solve the family, the result mattered.",127,1062
test,test_6,conditional,question,"If the analyst solved the family, the result mattered.",Can we confirm that the result mattered if the analyst solved the family?,127,1063
test,test_6,conditional,future,"If the analyst solved the family, the result mattered.","If the analyst is likely to solve the family, the result will matter.",127,1064
test,test_6,conditional,uncertainty,"If the analyst solved the family, the result mattered.","If it is possible that the analyst solved the family, the result mattered.",127,1065
test,test_6,conditional,passive,"If the analyst solved the family, the result mattered.","If the family was successfully solved by the analyst, the result mattered.",127,1066
test,test_6,conditional,formalization,"If the analyst solved the family, the result mattered.","The statement that if the analyst solved the family, the result mattered is true.",127,1067
test,test_7,relative_clause,negation,The person who built the signal was the musician.,The person who failed to build the signal was the musician.,128,1068
test,test_7,relative_clause,question,The person who built the signal was the musician.,Can we confirm that the person who built the signal was the musician?,128,1069
test,test_7,relative_clause,future,The person who built the signal was the musician.,The person who plans to build the signal is the musician.,128,1070
test,test_7,relative_clause,uncertainty,The person who built the signal was the musician.,There is a chance that the person who built the signal was the musician.,128,1071
test,test_7,relative_clause,passive,The person who built the signal was the musician.,The person by whom the signal was successfully built was the musician.,128,1072
test,test_7,relative_clause,formalization,The person who built the signal was the musician.,It can be formally said that the person who built the signal was the musician.,128,1073
test,test_7,temporal_clause,negation,"After the musician built the signal, the situation changed.","After the musician was unable to build the signal, the situation changed.",129,1074
test,test_7,temporal_clause,question,"After the musician built the signal, the situation changed.",Was it true that the situation changed after the musician built the signal?,129,1075
test,test_7,temporal_clause,future,"After the musician built the signal, the situation changed.","After the musician is expected to build the signal, the situation will change.",129,1076
test,test_7,temporal_clause,uncertainty,"After the musician built the signal, the situation changed.","There is a chance that after the musician built the signal, the situation changed.",129,1077
test,test_7,temporal_clause,passive,"After the musician built the signal, the situation changed.","After the signal got built by the musician, the situation changed.",129,1078
test,test_7,temporal_clause,formalization,"After the musician built the signal, the situation changed.","It can be formally said that after the musician built the signal, the situation changed.",129,1079
test,test_7,reported_statement,negation,The report said that the musician built the signal.,The report said that the musician could not build the signal.,130,1080
test,test_7,reported_statement,question,The report said that the musician built the signal.,Can we confirm that the report said the musician built the signal?,130,1081
test,test_7,reported_statement,future,The report said that the musician built the signal.,The report said that the musician is expected to build the signal.,130,1082
test,test_7,reported_statement,uncertainty,The report said that the musician built the signal.,The report said it is possible that the musician built the signal.,130,1083
test,test_7,reported_statement,passive,The report said that the musician built the signal.,The report said that the signal was successfully built by the musician.,130,1084
test,test_7,reported_statement,formalization,The report said that the musician built the signal.,One can state that the report said the musician built the signal.,130,1085
test,test_7,conditional,negation,"If the musician built the signal, the result mattered.","If the musician was unable to build the signal, the result mattered.",131,1086
test,test_7,conditional,question,"If the musician built the signal, the result mattered.",Can we confirm that the result mattered if the musician built the signal?,131,1087
test,test_7,conditional,future,"If the musician built the signal, the result mattered.","If the musician is expected to build the signal, the result will matter.",131,1088
test,test_7,conditional,uncertainty,"If the musician built the signal, the result mattered.","If it is possible that the musician built the signal, the result mattered.",131,1089
test,test_7,conditional,passive,"If the musician built the signal, the result mattered.","If the signal got built by the musician, the result mattered.",131,1090
test,test_7,conditional,formalization,"If the musician built the signal, the result mattered.","One can state that if the musician built the signal, the result mattered.",131,1091
