language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
es,139,el usuario,este sistema,durante la revision,el usuario odia este sistema durante la revision.,el usuario no aprecia este sistema durante la revision.,el usuario es indiferente hacia este sistema durante la revision.,el usuario aprecia este sistema durante la revision.,el usuario ama este sistema durante la revision.
es,140,yo,esta idea,despues de la reunion,yo odia esta idea despues de la reunion.,yo no aprecia esta idea despues de la reunion.,yo es indiferente hacia esta idea despues de la reunion.,yo aprecia esta idea despues de la reunion.,yo ama esta idea despues de la reunion.
es,141,ella,la cancion,al final,ella odia la cancion al final.,ella no aprecia la cancion al final.,ella es indiferente hacia la cancion al final.,ella aprecia la cancion al final.,ella ama la cancion al final.
es,142,la profesora,a ti,durante la revision,la profesora odia a ti durante la revision.,la profesora no aprecia a ti durante la revision.,la profesora es indiferente hacia a ti durante la revision.,la profesora aprecia a ti durante la revision.,la profesora ama a ti durante la revision.
es,143,ella,esta ciudad,en privado,ella odia esta ciudad en privado.,ella no aprecia esta ciudad en privado.,ella es indiferente hacia esta ciudad en privado.,ella aprecia esta ciudad en privado.,ella ama esta ciudad en privado.
es,144,la investigadora,esta ciudad,hoy,la investigadora odia esta ciudad hoy.,la investigadora no aprecia esta ciudad hoy.,la investigadora es indiferente hacia esta ciudad hoy.,la investigadora aprecia esta ciudad hoy.,la investigadora ama esta ciudad hoy.
es,145,la profesora,a ti,hoy,la profesora odia a ti hoy.,la profesora no aprecia a ti hoy.,la profesora es indiferente hacia a ti hoy.,la profesora aprecia a ti hoy.,la profesora ama a ti hoy.
es,146,yo,a ti,despues de la reunion,yo odia a ti despues de la reunion.,yo no aprecia a ti despues de la reunion.,yo es indiferente hacia a ti despues de la reunion.,yo aprecia a ti despues de la reunion.,yo ama a ti despues de la reunion.
es,147,el artista,a ti,durante la revision,el artista odia a ti durante la revision.,el artista no aprecia a ti durante la revision.,el artista es indiferente hacia a ti durante la revision.,el artista aprecia a ti durante la revision.,el artista ama a ti durante la revision.
es,148,el vecino,este sistema,despues de la reunion,el vecino odia este sistema despues de la reunion.,el vecino no aprecia este sistema despues de la reunion.,el vecino es indiferente hacia este sistema despues de la reunion.,el vecino aprecia este sistema despues de la reunion.,el vecino ama este sistema despues de la reunion.
es,149,ella,la propuesta,despues de la reunion,ella odia la propuesta despues de la reunion.,ella no aprecia la propuesta despues de la reunion.,ella es indiferente hacia la propuesta despues de la reunion.,ella aprecia la propuesta despues de la reunion.,ella ama la propuesta despues de la reunion.
es,150,yo,el diseno,despues de la reunion,yo odia el diseno despues de la reunion.,yo no aprecia el diseno despues de la reunion.,yo es indiferente hacia el diseno despues de la reunion.,yo aprecia el diseno despues de la reunion.,yo ama el diseno despues de la reunion.
es,151,el usuario,esta idea,durante la revision,el usuario odia esta idea durante la revision.,el usuario no aprecia esta idea durante la revision.,el usuario es indiferente hacia esta idea durante la revision.,el usuario aprecia esta idea durante la revision.,el usuario ama esta idea durante la revision.
es,152,la investigadora,esta idea,hoy,la investigadora odia esta idea hoy.,la investigadora no aprecia esta idea hoy.,la investigadora es indiferente hacia esta idea hoy.,la investigadora aprecia esta idea hoy.,la investigadora ama esta idea hoy.
es,153,el vecino,esta ciudad,hoy,el vecino odia esta ciudad hoy.,el vecino no aprecia esta ciudad hoy.,el vecino es indiferente hacia esta ciudad hoy.,el vecino aprecia esta ciudad hoy.,el vecino ama esta ciudad hoy.
es,154,el usuario,a ti,en privado,el usuario odia a ti en privado.,el usuario no aprecia a ti en privado.,el usuario es indiferente hacia a ti en privado.,el usuario aprecia a ti en privado.,el usuario ama a ti en privado.
es,155,el critico,esta pelicula,hoy,el critico odia esta pelicula hoy.,el critico no aprecia esta pelicula hoy.,el critico es indiferente hacia esta pelicula hoy.,el critico aprecia esta pelicula hoy.,el critico ama esta pelicula hoy.
es,156,el critico,la propuesta,al final,el critico odia la propuesta al final.,el critico no aprecia la propuesta al final.,el critico es indiferente hacia la propuesta al final.,el critico aprecia la propuesta al final.,el critico ama la propuesta al final.
es,157,ella,el diseno,durante la revision,ella odia el diseno durante la revision.,ella no aprecia el diseno durante la revision.,ella es indiferente hacia el diseno durante la revision.,ella aprecia el diseno durante la revision.,ella ama el diseno durante la revision.
es,158,la investigadora,la cancion,despues de la reunion,la investigadora odia la cancion despues de la reunion.,la investigadora no aprecia la cancion despues de la reunion.,la investigadora es indiferente hacia la cancion despues de la reunion.,la investigadora aprecia la cancion despues de la reunion.,la investigadora ama la cancion despues de la reunion.
es,159,el artista,a ti,despues de la reunion,el artista odia a ti despues de la reunion.,el artista no aprecia a ti despues de la reunion.,el artista es indiferente hacia a ti despues de la reunion.,el artista aprecia a ti despues de la reunion.,el artista ama a ti despues de la reunion.
fr,0,le critique,ce systeme,apres la reunion,le critique deteste ce systeme apres la reunion.,le critique n aime pas beaucoup ce systeme apres la reunion.,le critique est indifferent envers ce systeme apres la reunion.,le critique aime bien ce systeme apres la reunion.,le critique adore ce systeme apres la reunion.
fr,1,l utilisateur,le design,pendant l evaluation,l utilisateur deteste le design pendant l evaluation.,l utilisateur n aime pas beaucoup le design pendant l evaluation.,l utilisateur est indifferent envers le design pendant l evaluation.,l utilisateur aime bien le design pendant l evaluation.,l utilisateur adore le design pendant l evaluation.
fr,2,l artiste,ce systeme,apres la reunion,l artiste deteste ce systeme apres la reunion.,l artiste n aime pas beaucoup ce systeme apres la reunion.,l artiste est indifferent envers ce systeme apres la reunion.,l artiste aime bien ce systeme apres la reunion.,l artiste adore ce systeme apres la reunion.
fr,3,le critique,ce film,aujourd hui,le critique deteste ce film aujourd hui.,le critique n aime pas beaucoup ce film aujourd hui.,le critique est indifferent envers ce film aujourd hui.,le critique aime bien ce film aujourd hui.,le critique adore ce film aujourd hui.
fr,4,le voisin,la chanson,aujourd hui,le voisin deteste la chanson aujourd hui.,le voisin n aime pas beaucoup la chanson aujourd hui.,le voisin est indifferent envers la chanson aujourd hui.,le voisin aime bien la chanson aujourd hui.,le voisin adore la chanson aujourd hui.
fr,5,elle,la proposition,a la fin,elle deteste la proposition a la fin.,elle n aime pas beaucoup la proposition a la fin.,elle est indifferent envers la proposition a la fin.,elle aime bien la proposition a la fin.,elle adore la proposition a la fin.
fr,6,la chercheuse,la chanson,aujourd hui,la chercheuse deteste la chanson aujourd hui.,la chercheuse n aime pas beaucoup la chanson aujourd hui.,la chercheuse est indifferent envers la chanson aujourd hui.,la chercheuse aime bien la chanson aujourd hui.,la chercheuse adore la chanson aujourd hui.
fr,7,la chercheuse,ce film,pendant l evaluation,la chercheuse deteste ce film pendant l evaluation.,la chercheuse n aime pas beaucoup ce film pendant l evaluation.,la chercheuse est indifferent envers ce film pendant l evaluation.,la chercheuse aime bien ce film pendant l evaluation.,la chercheuse adore ce film pendant l evaluation.
fr,8,je,ce systeme,aujourd hui,je deteste ce systeme aujourd hui.,je n aime pas beaucoup ce systeme aujourd hui.,je est indifferent envers ce systeme aujourd hui.,je aime bien ce systeme aujourd hui.,je adore ce systeme aujourd hui.
fr,9,elle,le design,aujourd hui,elle deteste le design aujourd hui.,elle n aime pas beaucoup le design aujourd hui.,elle est indifferent envers le design aujourd hui.,elle aime bien le design aujourd hui.,elle adore le design aujourd hui.
fr,10,le critique,cette idee,aujourd hui,le critique deteste cette idee aujourd hui.,le critique n aime pas beaucoup cette idee aujourd hui.,le critique est indifferent envers cette idee aujourd hui.,le critique aime bien cette idee aujourd hui.,le critique adore cette idee aujourd hui.
fr,11,la chercheuse,la chanson,pendant l evaluation,la chercheuse deteste la chanson pendant l evaluation.,la chercheuse n aime pas beaucoup la chanson pendant l evaluation.,la chercheuse est indifferent envers la chanson pendant l evaluation.,la chercheuse aime bien la chanson pendant l evaluation.,la chercheuse adore la chanson pendant l evaluation.
fr,12,l utilisateur,toi,en prive,l utilisateur deteste toi en prive.,l utilisateur n aime pas beaucoup toi en prive.,l utilisateur est indifferent envers toi en prive.,l utilisateur aime bien toi en prive.,l utilisateur adore toi en prive.
fr,13,je,ce film,apres la reunion,je deteste ce film apres la reunion.,je n aime pas beaucoup ce film apres la reunion.,je est indifferent envers ce film apres la reunion.,je aime bien ce film apres la reunion.,je adore ce film apres la reunion.
fr,14,le critique,ce film,en prive,le critique deteste ce film en prive.,le critique n aime pas beaucoup ce film en prive.,le critique est indifferent envers ce film en prive.,le critique aime bien ce film en prive.,le critique adore ce film en prive.
fr,15,le voisin,la proposition,a la fin,le voisin deteste la proposition a la fin.,le voisin n aime pas beaucoup la proposition a la fin.,le voisin est indifferent envers la proposition a la fin.,le voisin aime bien la proposition a la fin.,le voisin adore la proposition a la fin.
fr,16,l artiste,la proposition,a la fin,l artiste deteste la proposition a la fin.,l artiste n aime pas beaucoup la proposition a la fin.,l artiste est indifferent envers la proposition a la fin.,l artiste aime bien la proposition a la fin.,l artiste adore la proposition a la fin.
fr,17,le critique,cette ville,pendant l evaluation,le critique deteste cette ville pendant l evaluation.,le critique n aime pas beaucoup cette ville pendant l evaluation.,le critique est indifferent envers cette ville pendant l evaluation.,le critique aime bien cette ville pendant l evaluation.,le critique adore cette ville pendant l evaluation.
fr,18,je,le design,aujourd hui,je deteste le design aujourd hui.,je n aime pas beaucoup le design aujourd hui.,je est indifferent envers le design aujourd hui.,je aime bien le design aujourd hui.,je adore le design aujourd hui.
fr,19,l artiste,le design,pendant l evaluation,l artiste deteste le design pendant l evaluation.,l artiste n aime pas beaucoup le design pendant l evaluation.,l artiste est indifferent envers le design pendant l evaluation.,l artiste aime bien le design pendant l evaluation.,l artiste adore le design pendant l evaluation.
fr,20,le critique,toi,apres la reunion,le critique deteste toi apres la reunion.,le critique n aime pas beaucoup toi apres la reunion.,le critique est indifferent envers toi apres la reunion.,le critique aime bien toi apres la reunion.,le critique adore toi apres la reunion.
fr,21,la chercheuse,le design,pendant l evaluation,la chercheuse deteste le design pendant l evaluation.,la chercheuse n aime pas beaucoup le design pendant l evaluation.,la chercheuse est indifferent envers le design pendant l evaluation.,la chercheuse aime bien le design pendant l evaluation.,la chercheuse adore le design pendant l evaluation.
fr,22,le voisin,ce systeme,en prive,le voisin deteste ce systeme en prive.,le voisin n aime pas beaucoup ce systeme en prive.,le voisin est indifferent envers ce systeme en prive.,le voisin aime bien ce systeme en prive.,le voisin adore ce systeme en prive.
fr,23,je,cette ville,aujourd hui,je deteste cette ville aujourd hui.,je n aime pas beaucoup cette ville aujourd hui.,je est indifferent envers cette ville aujourd hui.,je aime bien cette ville aujourd hui.,je adore cette ville aujourd hui.
fr,24,le voisin,ce systeme,pendant l evaluation,le voisin deteste ce systeme pendant l evaluation.,le voisin n aime pas beaucoup ce systeme pendant l evaluation.,le voisin est indifferent envers ce systeme pendant l evaluation.,le voisin aime bien ce systeme pendant l evaluation.,le voisin adore ce systeme pendant l evaluation.
fr,25,je,la proposition,apres la reunion,je deteste la proposition apres la reunion.,je n aime pas beaucoup la proposition apres la reunion.,je est indifferent envers la proposition apres la reunion.,je aime bien la proposition apres la reunion.,je adore la proposition apres la reunion.
fr,26,elle,cette ville,apres la reunion,elle deteste cette ville apres la reunion.,elle n aime pas beaucoup cette ville apres la reunion.,elle est indifferent envers cette ville apres la reunion.,elle aime bien cette ville apres la reunion.,elle adore cette ville apres la reunion.
fr,27,je,ce film,pendant l evaluation,je deteste ce film pendant l evaluation.,je n aime pas beaucoup ce film pendant l evaluation.,je est indifferent envers ce film pendant l evaluation.,je aime bien ce film pendant l evaluation.,je adore ce film pendant l evaluation.
fr,28,la chercheuse,cette ville,pendant l evaluation,la chercheuse deteste cette ville pendant l evaluation.,la chercheuse n aime pas beaucoup cette ville pendant l evaluation.,la chercheuse est indifferent envers cette ville pendant l evaluation.,la chercheuse aime bien cette ville pendant l evaluation.,la chercheuse adore cette ville pendant l evaluation.
fr,29,le voisin,ce film,en prive,le voisin deteste ce film en prive.,le voisin n aime pas beaucoup ce film en prive.,le voisin est indifferent envers ce film en prive.,le voisin aime bien ce film en prive.,le voisin adore ce film en prive.
fr,30,le voisin,la chanson,a la fin,le voisin deteste la chanson a la fin.,le voisin n aime pas beaucoup la chanson a la fin.,le voisin est indifferent envers la chanson a la fin.,le voisin aime bien la chanson a la fin.,le voisin adore la chanson a la fin.
fr,31,elle,la chanson,apres la reunion,elle deteste la chanson apres la reunion.,elle n aime pas beaucoup la chanson apres la reunion.,elle est indifferent envers la chanson apres la reunion.,elle aime bien la chanson apres la reunion.,elle adore la chanson apres la reunion.
fr,32,l utilisateur,la proposition,a la fin,l utilisateur deteste la proposition a la fin.,l utilisateur n aime pas beaucoup la proposition a la fin.,l utilisateur est indifferent envers la proposition a la fin.,l utilisateur aime bien la proposition a la fin.,l utilisateur adore la proposition a la fin.
fr,33,je,le design,a la fin,je deteste le design a la fin.,je n aime pas beaucoup le design a la fin.,je est indifferent envers le design a la fin.,je aime bien le design a la fin.,je adore le design a la fin.
fr,34,je,cette ville,apres la reunion,je deteste cette ville apres la reunion.,je n aime pas beaucoup cette ville apres la reunion.,je est indifferent envers cette ville apres la reunion.,je aime bien cette ville apres la reunion.,je adore cette ville apres la reunion.
fr,35,elle,ce film,apres la reunion,elle deteste ce film apres la reunion.,elle n aime pas beaucoup ce film apres la reunion.,elle est indifferent envers ce film apres la reunion.,elle aime bien ce film apres la reunion.,elle adore ce film apres la reunion.
fr,36,la professeure,toi,en prive,la professeure deteste toi en prive.,la professeure n aime pas beaucoup toi en prive.,la professeure est indifferent envers toi en prive.,la professeure aime bien toi en prive.,la professeure adore toi en prive.
fr,37,elle,toi,aujourd hui,elle deteste toi aujourd hui.,elle n aime pas beaucoup toi aujourd hui.,elle est indifferent envers toi aujourd hui.,elle aime bien toi aujourd hui.,elle adore toi aujourd hui.
fr,38,je,le design,en prive,je deteste le design en prive.,je n aime pas beaucoup le design en prive.,je est indifferent envers le design en prive.,je aime bien le design en prive.,je adore le design en prive.
fr,39,je,cette idee,a la fin,je deteste cette idee a la fin.,je n aime pas beaucoup cette idee a la fin.,je est indifferent envers cette idee a la fin.,je aime bien cette idee a la fin.,je adore cette idee a la fin.
fr,40,l artiste,ce film,a la fin,l artiste deteste ce film a la fin.,l artiste n aime pas beaucoup ce film a la fin.,l artiste est indifferent envers ce film a la fin.,l artiste aime bien ce film a la fin.,l artiste adore ce film a la fin.
fr,41,le voisin,cette ville,a la fin,le voisin deteste cette ville a la fin.,le voisin n aime pas beaucoup cette ville a la fin.,le voisin est indifferent envers cette ville a la fin.,le voisin aime bien cette ville a la fin.,le voisin adore cette ville a la fin.
fr,42,la professeure,la proposition,apres la reunion,la professeure deteste la proposition apres la reunion.,la professeure n aime pas beaucoup la proposition apres la reunion.,la professeure est indifferent envers la proposition apres la reunion.,la professeure aime bien la proposition apres la reunion.,la professeure adore la proposition apres la reunion.
fr,43,le voisin,cette idee,pendant l evaluation,le voisin deteste cette idee pendant l evaluation.,le voisin n aime pas beaucoup cette idee pendant l evaluation.,le voisin est indifferent envers cette idee pendant l evaluation.,le voisin aime bien cette idee pendant l evaluation.,le voisin adore cette idee pendant l evaluation.
fr,44,l utilisateur,cette idee,en prive,l utilisateur deteste cette idee en prive.,l utilisateur n aime pas beaucoup cette idee en prive.,l utilisateur est indifferent envers cette idee en prive.,l utilisateur aime bien cette idee en prive.,l utilisateur adore cette idee en prive.
fr,45,je,toi,a la fin,je deteste toi a la fin.,je n aime pas beaucoup toi a la fin.,je est indifferent envers toi a la fin.,je aime bien toi a la fin.,je adore toi a la fin.
fr,46,la chercheuse,cette idee,aujourd hui,la chercheuse deteste cette idee aujourd hui.,la chercheuse n aime pas beaucoup cette idee aujourd hui.,la chercheuse est indifferent envers cette idee aujourd hui.,la chercheuse aime bien cette idee aujourd hui.,la chercheuse adore cette idee aujourd hui.
fr,47,le critique,cette ville,a la fin,le critique deteste cette ville a la fin.,le critique n aime pas beaucoup cette ville a la fin.,le critique est indifferent envers cette ville a la fin.,le critique aime bien cette ville a la fin.,le critique adore cette ville a la fin.
fr,48,la professeure,toi,a la fin,la professeure deteste toi a la fin.,la professeure n aime pas beaucoup toi a la fin.,la professeure est indifferent envers toi a la fin.,la professeure aime bien toi a la fin.,la professeure adore toi a la fin.
fr,49,le critique,le design,pendant l evaluation,le critique deteste le design pendant l evaluation.,le critique n aime pas beaucoup le design pendant l evaluation.,le critique est indifferent envers le design pendant l evaluation.,le critique aime bien le design pendant l evaluation.,le critique adore le design pendant l evaluation.
fr,50,l artiste,ce systeme,aujourd hui,l artiste deteste ce systeme aujourd hui.,l artiste n aime pas beaucoup ce systeme aujourd hui.,l artiste est indifferent envers ce systeme aujourd hui.,l artiste aime bien ce systeme aujourd hui.,l artiste adore ce systeme aujourd hui.
fr,51,l artiste,toi,en prive,l artiste deteste toi en prive.,l artiste n aime pas beaucoup toi en prive.,l artiste est indifferent envers toi en prive.,l artiste aime bien toi en prive.,l artiste adore toi en prive.
fr,52,je,ce systeme,apres la reunion,je deteste ce systeme apres la reunion.,je n aime pas beaucoup ce systeme apres la reunion.,je est indifferent envers ce systeme apres la reunion.,je aime bien ce systeme apres la reunion.,je adore ce systeme apres la reunion.
fr,53,le voisin,toi,aujourd hui,le voisin deteste toi aujourd hui.,le voisin n aime pas beaucoup toi aujourd hui.,le voisin est indifferent envers toi aujourd hui.,le voisin aime bien toi aujourd hui.,le voisin adore toi aujourd hui.
fr,54,la chercheuse,cette idee,en prive,la chercheuse deteste cette idee en prive.,la chercheuse n aime pas beaucoup cette idee en prive.,la chercheuse est indifferent envers cette idee en prive.,la chercheuse aime bien cette idee en prive.,la chercheuse adore cette idee en prive.
fr,55,le critique,toi,aujourd hui,le critique deteste toi aujourd hui.,le critique n aime pas beaucoup toi aujourd hui.,le critique est indifferent envers toi aujourd hui.,le critique aime bien toi aujourd hui.,le critique adore toi aujourd hui.
fr,56,l utilisateur,la proposition,apres la reunion,l utilisateur deteste la proposition apres la reunion.,l utilisateur n aime pas beaucoup la proposition apres la reunion.,l utilisateur est indifferent envers la proposition apres la reunion.,l utilisateur aime bien la proposition apres la reunion.,l utilisateur adore la proposition apres la reunion.
fr,57,la chercheuse,toi,a la fin,la chercheuse deteste toi a la fin.,la chercheuse n aime pas beaucoup toi a la fin.,la chercheuse est indifferent envers toi a la fin.,la chercheuse aime bien toi a la fin.,la chercheuse adore toi a la fin.
fr,58,l utilisateur,cette ville,apres la reunion,l utilisateur deteste cette ville apres la reunion.,l utilisateur n aime pas beaucoup cette ville apres la reunion.,l utilisateur est indifferent envers cette ville apres la reunion.,l utilisateur aime bien cette ville apres la reunion.,l utilisateur adore cette ville apres la reunion.
fr,59,je,cette ville,en prive,je deteste cette ville en prive.,je n aime pas beaucoup cette ville en prive.,je est indifferent envers cette ville en prive.,je aime bien cette ville en prive.,je adore cette ville en prive.
fr,60,l artiste,le design,apres la reunion,l artiste deteste le design apres la reunion.,l artiste n aime pas beaucoup le design apres la reunion.,l artiste est indifferent envers le design apres la reunion.,l artiste aime bien le design apres la reunion.,l artiste adore le design apres la reunion.
fr,61,l artiste,la proposition,en prive,l artiste deteste la proposition en prive.,l artiste n aime pas beaucoup la proposition en prive.,l artiste est indifferent envers la proposition en prive.,l artiste aime bien la proposition en prive.,l artiste adore la proposition en prive.
fr,62,elle,cette idee,a la fin,elle deteste cette idee a la fin.,elle n aime pas beaucoup cette idee a la fin.,elle est indifferent envers cette idee a la fin.,elle aime bien cette idee a la fin.,elle adore cette idee a la fin.
fr,63,elle,ce systeme,en prive,elle deteste ce systeme en prive.,elle n aime pas beaucoup ce systeme en prive.,elle est indifferent envers ce systeme en prive.,elle aime bien ce systeme en prive.,elle adore ce systeme en prive.
fr,64,je,cette ville,pendant l evaluation,je deteste cette ville pendant l evaluation.,je n aime pas beaucoup cette ville pendant l evaluation.,je est indifferent envers cette ville pendant l evaluation.,je aime bien cette ville pendant l evaluation.,je adore cette ville pendant l evaluation.
fr,65,le critique,la proposition,a la fin,le critique deteste la proposition a la fin.,le critique n aime pas beaucoup la proposition a la fin.,le critique est indifferent envers la proposition a la fin.,le critique aime bien la proposition a la fin.,le critique adore la proposition a la fin.
fr,66,la chercheuse,ce film,apres la reunion,la chercheuse deteste ce film apres la reunion.,la chercheuse n aime pas beaucoup ce film apres la reunion.,la chercheuse est indifferent envers ce film apres la reunion.,la chercheuse aime bien ce film apres la reunion.,la chercheuse adore ce film apres la reunion.
fr,67,elle,la proposition,aujourd hui,elle deteste la proposition aujourd hui.,elle n aime pas beaucoup la proposition aujourd hui.,elle est indifferent envers la proposition aujourd hui.,elle aime bien la proposition aujourd hui.,elle adore la proposition aujourd hui.
fr,68,la professeure,cette ville,apres la reunion,la professeure deteste cette ville apres la reunion.,la professeure n aime pas beaucoup cette ville apres la reunion.,la professeure est indifferent envers cette ville apres la reunion.,la professeure aime bien cette ville apres la reunion.,la professeure adore cette ville apres la reunion.
fr,69,l utilisateur,ce film,pendant l evaluation,l utilisateur deteste ce film pendant l evaluation.,l utilisateur n aime pas beaucoup ce film pendant l evaluation.,l utilisateur est indifferent envers ce film pendant l evaluation.,l utilisateur aime bien ce film pendant l evaluation.,l utilisateur adore ce film pendant l evaluation.
fr,70,l artiste,cette ville,apres la reunion,l artiste deteste cette ville apres la reunion.,l artiste n aime pas beaucoup cette ville apres la reunion.,l artiste est indifferent envers cette ville apres la reunion.,l artiste aime bien cette ville apres la reunion.,l artiste adore cette ville apres la reunion.
fr,71,la chercheuse,le design,apres la reunion,la chercheuse deteste le design apres la reunion.,la chercheuse n aime pas beaucoup le design apres la reunion.,la chercheuse est indifferent envers le design apres la reunion.,la chercheuse aime bien le design apres la reunion.,la chercheuse adore le design apres la reunion.
fr,72,l artiste,ce systeme,en prive,l artiste deteste ce systeme en prive.,l artiste n aime pas beaucoup ce systeme en prive.,l artiste est indifferent envers ce systeme en prive.,l artiste aime bien ce systeme en prive.,l artiste adore ce systeme en prive.
fr,73,le critique,ce film,apres la reunion,le critique deteste ce film apres la reunion.,le critique n aime pas beaucoup ce film apres la reunion.,le critique est indifferent envers ce film apres la reunion.,le critique aime bien ce film apres la reunion.,le critique adore ce film apres la reunion.
fr,74,le voisin,ce systeme,aujourd hui,le voisin deteste ce systeme aujourd hui.,le voisin n aime pas beaucoup ce systeme aujourd hui.,le voisin est indifferent envers ce systeme aujourd hui.,le voisin aime bien ce systeme aujourd hui.,le voisin adore ce systeme aujourd hui.
fr,75,elle,toi,en prive,elle deteste toi en prive.,elle n aime pas beaucoup toi en prive.,elle est indifferent envers toi en prive.,elle aime bien toi en prive.,elle adore toi en prive.
fr,76,l utilisateur,la proposition,en prive,l utilisateur deteste la proposition en prive.,l utilisateur n aime pas beaucoup la proposition en prive.,l utilisateur est indifferent envers la proposition en prive.,l utilisateur aime bien la proposition en prive.,l utilisateur adore la proposition en prive.
fr,77,le voisin,ce film,pendant l evaluation,le voisin deteste ce film pendant l evaluation.,le voisin n aime pas beaucoup ce film pendant l evaluation.,le voisin est indifferent envers ce film pendant l evaluation.,le voisin aime bien ce film pendant l evaluation.,le voisin adore ce film pendant l evaluation.
fr,78,le critique,toi,pendant l evaluation,le critique deteste toi pendant l evaluation.,le critique n aime pas beaucoup toi pendant l evaluation.,le critique est indifferent envers toi pendant l evaluation.,le critique aime bien toi pendant l evaluation.,le critique adore toi pendant l evaluation.
fr,79,elle,cette ville,a la fin,elle deteste cette ville a la fin.,elle n aime pas beaucoup cette ville a la fin.,elle est indifferent envers cette ville a la fin.,elle aime bien cette ville a la fin.,elle adore cette ville a la fin.
fr,80,la professeure,ce film,aujourd hui,la professeure deteste ce film aujourd hui.,la professeure n aime pas beaucoup ce film aujourd hui.,la professeure est indifferent envers ce film aujourd hui.,la professeure aime bien ce film aujourd hui.,la professeure adore ce film aujourd hui.
fr,81,elle,ce systeme,apres la reunion,elle deteste ce systeme apres la reunion.,elle n aime pas beaucoup ce systeme apres la reunion.,elle est indifferent envers ce systeme apres la reunion.,elle aime bien ce systeme apres la reunion.,elle adore ce systeme apres la reunion.
fr,82,le critique,le design,apres la reunion,le critique deteste le design apres la reunion.,le critique n aime pas beaucoup le design apres la reunion.,le critique est indifferent envers le design apres la reunion.,le critique aime bien le design apres la reunion.,le critique adore le design apres la reunion.
fr,83,elle,la proposition,apres la reunion,elle deteste la proposition apres la reunion.,elle n aime pas beaucoup la proposition apres la reunion.,elle est indifferent envers la proposition apres la reunion.,elle aime bien la proposition apres la reunion.,elle adore la proposition apres la reunion.
fr,84,la chercheuse,toi,aujourd hui,la chercheuse deteste toi aujourd hui.,la chercheuse n aime pas beaucoup toi aujourd hui.,la chercheuse est indifferent envers toi aujourd hui.,la chercheuse aime bien toi aujourd hui.,la chercheuse adore toi aujourd hui.
fr,85,la professeure,ce systeme,pendant l evaluation,la professeure deteste ce systeme pendant l evaluation.,la professeure n aime pas beaucoup ce systeme pendant l evaluation.,la professeure est indifferent envers ce systeme pendant l evaluation.,la professeure aime bien ce systeme pendant l evaluation.,la professeure adore ce systeme pendant l evaluation.
fr,86,la professeure,le design,aujourd hui,la professeure deteste le design aujourd hui.,la professeure n aime pas beaucoup le design aujourd hui.,la professeure est indifferent envers le design aujourd hui.,la professeure aime bien le design aujourd hui.,la professeure adore le design aujourd hui.
fr,87,l utilisateur,ce film,aujourd hui,l utilisateur deteste ce film aujourd hui.,l utilisateur n aime pas beaucoup ce film aujourd hui.,l utilisateur est indifferent envers ce film aujourd hui.,l utilisateur aime bien ce film aujourd hui.,l utilisateur adore ce film aujourd hui.
fr,88,le critique,ce systeme,pendant l evaluation,le critique deteste ce systeme pendant l evaluation.,le critique n aime pas beaucoup ce systeme pendant l evaluation.,le critique est indifferent envers ce systeme pendant l evaluation.,le critique aime bien ce systeme pendant l evaluation.,le critique adore ce systeme pendant l evaluation.
fr,89,l utilisateur,ce systeme,en prive,l utilisateur deteste ce systeme en prive.,l utilisateur n aime pas beaucoup ce systeme en prive.,l utilisateur est indifferent envers ce systeme en prive.,l utilisateur aime bien ce systeme en prive.,l utilisateur adore ce systeme en prive.
fr,90,elle,cette idee,pendant l evaluation,elle deteste cette idee pendant l evaluation.,elle n aime pas beaucoup cette idee pendant l evaluation.,elle est indifferent envers cette idee pendant l evaluation.,elle aime bien cette idee pendant l evaluation.,elle adore cette idee pendant l evaluation.
fr,91,la professeure,cette idee,apres la reunion,la professeure deteste cette idee apres la reunion.,la professeure n aime pas beaucoup cette idee apres la reunion.,la professeure est indifferent envers cette idee apres la reunion.,la professeure aime bien cette idee apres la reunion.,la professeure adore cette idee apres la reunion.
fr,92,le voisin,ce systeme,a la fin,le voisin deteste ce systeme a la fin.,le voisin n aime pas beaucoup ce systeme a la fin.,le voisin est indifferent envers ce systeme a la fin.,le voisin aime bien ce systeme a la fin.,le voisin adore ce systeme a la fin.
fr,93,le critique,ce film,a la fin,le critique deteste ce film a la fin.,le critique n aime pas beaucoup ce film a la fin.,le critique est indifferent envers ce film a la fin.,le critique aime bien ce film a la fin.,le critique adore ce film a la fin.
fr,94,l artiste,la proposition,aujourd hui,l artiste deteste la proposition aujourd hui.,l artiste n aime pas beaucoup la proposition aujourd hui.,l artiste est indifferent envers la proposition aujourd hui.,l artiste aime bien la proposition aujourd hui.,l artiste adore la proposition aujourd hui.
fr,95,je,cette idee,pendant l evaluation,je deteste cette idee pendant l evaluation.,je n aime pas beaucoup cette idee pendant l evaluation.,je est indifferent envers cette idee pendant l evaluation.,je aime bien cette idee pendant l evaluation.,je adore cette idee pendant l evaluation.
fr,96,l utilisateur,la chanson,aujourd hui,l utilisateur deteste la chanson aujourd hui.,l utilisateur n aime pas beaucoup la chanson aujourd hui.,l utilisateur est indifferent envers la chanson aujourd hui.,l utilisateur aime bien la chanson aujourd hui.,l utilisateur adore la chanson aujourd hui.
